DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
LotusScarab_Intro,Unarmed,false,,,Bullet,Light,Thrust,,,,,false,0.3499999940395355,1,1,1,1,1,20,15,20,0,1.5,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0.5,,1,Small,Small,Small,3,0.699999988079071,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Horn,Unarmed,false,,,Bullet,Light,Thrust,,,,,false,0.3499999940395355,1,1,1,1,1,20,15,20,0,1.5,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,,1,Small,Small,Small,3,0.5,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Slash_Right,Unarmed,false,,,Bullet,Heavy,Slash,,,,,false,0.44999998807907104,1,1,2,2,2,20,15,20,-1,2,0,0.800000011920929,-1,2,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,,1,Small,Small,Small,3,0.25,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Slash_Left,Unarmed,false,,,Bullet,Heavy,Slash,,,,,false,0.44999998807907104,1,1,2,2,2,20,15,20,1,2,0,0.800000011920929,1,2,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,,1,Small,Small,Small,3,0.25,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_BodySlam,Unarmed,false,,,Bullet,Heavy,Strike,,,,,false,0.44999998807907104,1,1,4,4,4,40,35,40,2,3,0,0.800000011920929,2,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.6000000238418579,,2,Small,Small,Small,3,1,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_BodySlam_Shockwave,Unarmed,false,,,Bullet,Heavy,Strike,,,,,false,0.550000011920929,1,1,2,2,2,20,15,20,0,2,0,0.800000011920929,0,2,0,0.800000011920929,0,0,0,0.800000011920929,0,0.4000000059604645,,1,Small,Small,Small,3,0.5,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Charge,Unarmed,false,,,Bullet,Heavy,Strike,,,,,false,0.800000011920929,1,1,3,3,3,30,25,30,2,3,0,0.800000011920929,2,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.4000000059604645,,2,Small,Small,Small,3,0.4000000059604645,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Move,Unarmed,false,,,Bullet,Light,Strike,,,,,false,0.20000000298023224,1,1,2,2,2,30,25,30,2,3,0,0.800000011920929,2,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,,2,Small,Small,Small,3,0.4000000059604645,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Sunspots,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.10000000149011612,1,1,0,0,0,10,10,10,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,,1,Small,Small,Small,3,0.30000001192092896,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_SolarBlast,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.5,1,1,2,2,2,20,15,20,0,1.5,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,,1,Small,Small,Small,3,0.30000001192092896,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_AncientSunBeam,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.20000000298023224,1,1,0,0,0,15,15,20,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.20000000298023224,,2,Small,Small,Small,3,0.10000000149011612,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_RazingBeam,AncientMagic,true,,,Bullet,Magic,Fire,,,,,false,0.4000000059604645,1,1,4,4,4,40,35,40,2.5,2,0,0.800000011920929,2.5,2,0,0.800000011920929,0,0,0,0.800000011920929,0,0.5,,1,Small,Small,Small,3,0.30000001192092896,1,1,0,0.16249999403953552,0.32499998807907104
LotusScarab_Overload,AncientMagic,false,,,Bullet,Magic,Fire,,,,,false,1,1,1,4,4,4,40,35,40,0,5,0,0.800000011920929,0,5,0,0.800000011920929,0,0,0,0.800000011920929,0,2,,10,Small,Small,Small,3,0,1,1,0,0.16249999403953552,0.32499998807907104
