DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,UseAttackerPosForReaction,DamageGuildAndGroup,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_Priest_Fireball_Spell,VoidGauntlet_Proj,0,0,true,,Bullet,Magic,Arcane,,,,,,false,false,false,,false,0.25,1,1,0,0,0,10,10,10,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,,0,Small,Small,Small,0,0.33000001311302185,1,1,0.16249999403953552,0.32499998807907104
Petrifying_Scream,VoidGauntlet_Proj,0,0,true,,Bullet,Heavy,Arcane,,,,,"AI_Root_4sec,AI_Weaken,AI_Rend",true,false,false,Deflect_Default,false,0.15000000596046448,1,1,1,1,1,10,5,10,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,,0,Small,Small,Small,0,0.10000000149011612,1,0,0.16249999403953552,0.32499998807907104
Damned_Priest_BlastAway_Spell,VoidGauntlet_Special,0,0,false,,Bullet,Magic,Arcane,,,,,,false,false,false,,false,0.30000001192092896,1,1,4,4,4,30,20,30,0,7,0.75,0.800000011920929,0,0,0,0.800000011920929,0,7,0.75,0.800000011920929,0,1.2000000476837158,,1,Small,Small,Small,1,0.550000011920929,1,1,0.16249999403953552,0.32499998807907104
Damned_Priest_Close_Staff_Attack,Club,0,0,false,,Bullet,Light,Strike,,,,,,false,false,false,Deflect_Default,false,0.25,1,1,0,0,0,10,10,10,0,1.25,0,0.800000011920929,0,0,0,0,0,1.25,0,0.800000011920929,0,0.15000000596046448,,1.75,Small,Small,Small,1,0.15000000596046448,1,0,0.16249999403953552,0.32499998807907104
Overhead_Staff_Attack,Club,0,0,false,,Bullet,Heavy,Strike,,,,,,false,false,false,Deflect_Default,false,0.30000001192092896,1,1,3,3,3,25,20,25,0,1.75,0,0.800000011920929,0,0,0,0,0,1.75,0,0.800000011920929,0,0.800000011920929,,1.75,Small,Small,Small,1,0.699999988079071,1,1,0.16249999403953552,0.32499998807907104
Soul_Drain_KnockBack,VoidGauntlet_Special,0,0,false,,Bullet,Magic,Arcane,,,,,,false,false,false,Deflect_Default,false,0.20000000298023224,1,1,3,3,3,25,20,25,0,7,0,0.800000011920929,0,0,0,0,0,7,0,0.800000011920929,0,0.800000011920929,,1.75,Small,Small,Small,1,0.699999988079071,1,1,0.16249999403953552,0.32499998807907104
Soul_Split_KnockDown,VoidGauntlet_Special,0,0,false,,Bullet,Magic,Arcane,,,,,,false,false,false,Deflect_Default,false,0.15000000596046448,1,1,4,4,4,25,20,25,0,7,0,0.800000011920929,0,0,0,0,0,7,0,0.800000011920929,0,0.800000011920929,,1.75,Small,Small,Small,1,0.699999988079071,1,1,0.16249999403953552,0.32499998807907104
Soul_Drain,Unarmed,0,1,true,,Bullet,Magic,Arcane,,,,,AI_BrotherUmberto_HealthDebuff,true,false,false,Deflect_Default,false,0.0010000000474974513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,1,0,0.16249999403953552,0.32499998807907104
1H_Sword_Attack1,Sword,0,0,false,,Bullet,Light,Thrust,,,,,,false,false,false,Deflect_Default,false,0.25,1,1,0,2,0,30,25,30,0,2,0,0.800000011920929,0,0,0,0,0,2,0,0.800000011920929,0,0,,0,Small,Small,Small,3,0.33000001311302185,1,0,0.16249999403953552,0.32499998807907104
1H_Sword_Attack1_Slash,Sword,0,0,false,,Bullet,Light,Slash,,,,,,false,false,false,Deflect_Default,false,0.25,1,1,0,2,0,30,25,30,0,2,0,0.800000011920929,0,0,0,0,0,2,0,0.800000011920929,0,0,,0,Small,Small,Small,3,0.33000001311302185,1,0,0.16249999403953552,0.32499998807907104
Reunion_Souls,Unarmed,0,0,false,,,,,,,,,,false,false,true,Deflect_Default,false,0,0,0,3,3,3,30,30,30,0,-8,0,0.800000011920929,0,-8,0,0.800000011920929,0,-8,0,0.800000011920929,0,1.5,,1.5,Small,Small,Small,3,0,1,16,0.16249999403953552,0.32499998807907104
Reunion_Kill,Unarmed,0,0,false,,,Heavy,Strike,,,,,,false,false,true,Deflect_Default,false,100,1,0,51,51,51,20,20,15,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1.5,,1.5,Small,Small,Small,3,1.25,1,0,0.16249999403953552,0.32499998807907104
Reunion,Unarmed,0,0,false,,,Heavy,,,,,,,false,true,false,Deflect_Default,false,0,0,0,0,0,0,30,30,30,0,-1,0,0.699999988079071,0,-1,0,0.699999988079071,0,0,0,0.699999988079071,0,1.5,,1.5,Small,Small,Small,3,0,1,50,0.16249999403953552,0.32499998807907104
Fall,Fall,1,1,false,,Bullet,,Falling,,,,,,false,false,false,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.16249999403953552,0.32499998807907104
Reaction_Breakout,Fall,1,1,false,,Bullet,,Falling,,,,,,false,false,false,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,0,0,0,0.16249999403953552,0.32499998807907104
