DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,false,0.16249999403953552,0.32499998807907104
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,0,0,1,false,0.16249999403953552,0.32499998807907104
Elite_GRIT,Sword,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.800000011920929,0,0.75,0,0.800000011920929,0,0,0,0.800000011920929,0,1.9500000476837158,,10,Small,Small,Small,0,1,1,1,false,0.16249999403953552,0.32499998807907104
Attack_Force_Grab,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,3,3,3,34,30,34,0,-1,-2,0.699999988079071,0,-1,-2,0.699999988079071,0,-1,-2,0.699999988079071,0,0,,0,Large,Large,Large,4,0,0,0,true,0.16249999403953552,0.32499998807907104
Attack_Force_Grab_Attach,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,false,0.16249999403953552,0.32499998807907104
Attack_Darkness_Calls,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.25,1,,2,2,2,27,21,27,0,-2,0,0.699999988079071,0,-1.7000000476837158,0,0.699999988079071,0,-2,0,0.699999988079071,0,0,,0,Large,Large,Large,3,0.6000000238418579,0,0,false,0.16249999403953552,0.32499998807907104
Attack_Darkness_Calls_Affliction,Sword,0,1,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,false,0.16249999403953552,0.32499998807907104
Attack_Flame_Wall,Sword,0,1,,Bullet,Magic,Fire,,,,,,,Deflect_Default,false,0.30000001192092896,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,false,0.16249999403953552,0.32499998807907104
Attack_Core_Explosion,Sword,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.800000011920929,1,,4,4,4,40,48,40,0,6.5,0,0.75,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Attack_Core_Stab,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.8999999761581421,1,,5,5,5,40,48,40,0,0.30000001192092896,0,0.75,0,0.6000000238418579,0,0.75,0,0.30000001192092896,0,0.75,0,0,,0,Large,Large,Large,3,0.6499999761581421,0,0,false,0.16249999403953552,0.32499998807907104
