DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup
Attack_Stab,Spear,0,0,false,Bullet,Light,Thrust,,,,,false,false,0.6000000238418579,1,1,0,0,0,16,16,13,0,1.100000023841858,0,0.800000011920929,0,0,0,0.800000011920929,0,1.100000023841858,0,0.800000011920929,0,1,1,1,Small,Small,0,0.5,1,1,0,
Attack_HeavyStab,Spear,0,0,false,Bullet,Heavy,Thrust,,,,,false,false,0.8500000238418579,1,1,3,3,2,32,32,36,0,2,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1,1,1,Small,Small,0,0.800000011920929,1,1,0,
Attack_Slash,Spear,0,0,false,Bullet,Light,Slash,,,,,false,false,0.699999988079071,1,1,2,2,2,24,24,32,0,2,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1,1,1,Small,Small,0,0.5,1,1,0,
Attack_Sweep,Spear,0,0,false,Bullet,Heavy,Slash,,,,,false,false,0.30000001192092896,1,1,0,0,1,12,24,17,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,1,1,1,Small,Small,0,0.4000000059604645,1,1,0,
Attack_SweepAdditive,Spear,0,0,false,Bullet,Light,Slash,,,,,false,false,0.5,1,1,0,0,1,14,24,17,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,1,1,1,,,0,0.6000000238418579,1,0,0,
Attack_SweepFinisher,Spear,0,0,false,Bullet,Light,Slash,,,,,false,false,0.6000000238418579,1,1,5,5,2,24,24,17,0,1.399999976158142,0,0.800000011920929,0,0,0,0.800000011920929,0,1.399999976158142,0,0.800000011920929,0,1,1,1,Small,Small,0,0.75,1,1,0,
Attack_DodgeStab,Spear,0,0,false,Bullet,Light,Thrust,,,,,false,false,0.4000000059604645,1,1,1,1,1,14,14,11,0,0.8999999761581421,0,0.800000011920929,0,0,0,0.800000011920929,0,0.8999999761581421,0,0.800000011920929,0,1,1,1,Small,Small,0,0.6000000238418579,1,1,0,
Attack_KneeLeap,Spear,0,0,false,Bullet,Light,Strike,,,,,false,false,0.5,1,1,4,4,3,20,20,18,0,5.5,1,0.800000011920929,0,0,0,0.800000011920929,0,6,1,0.800000011920929,0,1,1,1,Small,Small,0,0.8999999761581421,1,1,0,
Attack_Kick,Spear,0,0,false,Bullet,Heavy,Strike,,,,,false,false,0.5,1,1,4,4,3,20,20,18,0,5.5,1,0.800000011920929,0,0,0,0.800000011920929,0,6,1,0.800000011920929,0,1,1,1,Small,Small,0,0.8999999761581421,1,1,0,
Attack_LightningSpear,Spear,0,0,true,Bullet,Heavy,Thrust,,,,,false,false,0.6000000238418579,1,1,4,4,3,20,20,30,0,7,0,0.800000011920929,0,0,0,0.800000011920929,0,7,0,0.800000011920929,0,0,0,0,Small,Small,0,1.2000000476837158,1,1,0,
Attack_SpinSpear,Spear,0,0,false,Bullet,Light,Slash,,,,,false,false,0.5,1,1,0,0,0,24,24,32,0,2,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1,1,1,Small,Small,0,0.6000000238418579,1,1,0,
Attack_SpinBody,Spear,0,0,false,Bullet,Heavy,Nature,,AI_DryadSiren_Erosion_Debuff,,,false,false,0.30000001192092896,1,1,0,0,0,25,20,25,0,-1.600000023841858,0,0.8999999761581421,0,0,0,0.800000011920929,0,-1.600000023841858,0,0.8999999761581421,0,1,1,1,Small,Small,0,0.699999988079071,1,1,0,
Attack_SpinIntro,Spear,0,0,false,Bullet,Light,Nature,,AI_DryadSiren_Erosion_Debuff,,,false,false,0.10000000149011612,1,1,3,3,2,25,25,30,0,6,0,0.8999999761581421,0,0,0,0.800000011920929,0,6,0,0.8999999761581421,0,1,1,1,Small,Small,0,0.699999988079071,1,1,0,
Spell_LightningSpearPlantedSmall,Spear,0,0,false,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.20000000298023224,1,1,0,1,1,12,12,24,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,0,0,0,Small,Small,0,0.5,1,1,0,
Spell_LightningSpearPlantedBig,Spear,0,0,false,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.3499999940395355,1,1,1,1,2,12,12,24,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,0,0,0,Small,Small,0,0.75,1,1,0,
Spell_CallLightningStorm,Spear,0,0,false,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,false,false,0.5,1,1,0,0,0,0,0,0,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,0,0,0,,,0,0.6000000238418579,1,0,0,
Spell_CallLightningBurst,Spear,0,0,false,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,false,false,0.20000000298023224,1,1,1,1,1,12,12,12,0,0.800000011920929,0,0.800000011920929,0,0,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,0,0,0,,,0,0.6000000238418579,1,1,0,
Spell_Spawn,Spear,0,0,false,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,false,false,0.05000000074505806,1,1,3,3,2,12,12,12,0,8,0,0.800000011920929,0,0,0,0.800000011920929,0,8,0,0.800000011920929,0,0,0,0,Small,Small,0,0.5,1,1,0,
Spell_Transition_P2,Spear,0,0,false,Bullet,Magic,Nature,,"AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff",,Deflect_Default,true,false,0.10000000149011612,1,1,0,0,1,5,5,10,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0,Small,Small,0,0.20000000298023224,1,1,0,
