DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
Attack_Stab,Spear,0,0,,Bullet,Light,Thrust,,,false,Deflect_Default,false,0.3499999940395355,1,1,0,1,0,10,5,10,0,0.30000001192092896,0,0.800000011920929,0,0.30000001192092896,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,Small,Small,3,0.15000000596046448,1,0,30,0.16249999403953552,0.32499998807907104
Attack_Heavy_Stab,Spear,0,0,,Bullet,Heavy,Thrust,,,false,Deflect_Default,false,1,1,1,1,1,1,15,10,15,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,Small,Small,3,1.2000000476837158,1,0,30,0.16249999403953552,0.32499998807907104
Attack_Perforate,Spear,0,0,,Bullet,Light,Thrust,,,false,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,0.5,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,Small,Small,3,0.30000001192092896,1,1,30,0.16249999403953552,0.32499998807907104
Attack_Leg_Sweep,Spear,0,0,,Bullet,Heavy,Thrust,,,false,Deflect_Default,false,0.20000000298023224,1,1,5,5,5,50,45,50,0,0.5,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,Small,Small,3,0.5,1,1,30,0.16249999403953552,0.32499998807907104
Attack_Leg_Sweep_FollowUp,Spear,0,0,,Bullet,Heavy,Thrust,,,false,Deflect_Default,false,0.8500000238418579,1,1,0,2,0,25,20,25,0,0.5,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,Small,,3,1,1,1,30,0.16249999403953552,0.32499998807907104
Dynasty_Spearman_Flying_Kick,Unarmed,0,0,,Bullet,Heavy,Strike,,AI_Stun_2sec,true,,false,0.699999988079071,1,1,1,2,1,14,20,14,0,1.2000000476837158,0,0.800000011920929,0,0,0,0.800000011920929,0,1.2999999523162842,0,0.800000011920929,0,1,0,Small,Small,Small,3,1.2000000476837158,1,1,0.16249999403953552,0.32499998807907104
Dynasty_Spearman_Spinning_Rising_Combo,Spear,0,0,,Bullet,Light,Slash,,,false,Deflect_Default,false,0.3499999940395355,1,1,0,1,0,13,13,13,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,1.100000023841858,0,0.800000011920929,0,0.800000011920929,1,Small,Small,Small,3,0.3499999940395355,1,0.5,0.16249999403953552,0.32499998807907104
Dynasty_Spearman_Spinning_Rising_End,Spear,0,0,,Bullet,Heavy,Slash,,,false,Deflect_Default,false,0.5,1,1,2,2,2,26,24,26,0,1.2999999523162842,0,0.800000011920929,0,0,0,0.800000011920929,0,1.399999976158142,0,0.800000011920929,0,1.2000000476837158,1,Small,Small,Small,4,0.6000000238418579,1,1,0.16249999403953552,0.32499998807907104
Deflect_Default,Unarmed,1,0,,,,Deflect,,,false,,false,0,0,0,2,2,2,0,0,0,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0,0,0,0,Small,,0,0.44999998807907104,1,1,0,0.16249999403953552,0.32499998807907104
Fall,Fall,1,1,,Bullet,,Falling,,,false,,false,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,false,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,,1,0,1,1,0,0.16249999403953552,0.32499998807907104
