DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,AttackDealsNoDurability,SurfaceImpactEffect,AttackType,DamageType,IsRanged,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,CritCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,HitRuneCharge,HitBlockedRuneCharge
Left_Hand_Ground_Pound,Unarmed,0,0,false,Bullet,Heavy,Strike,false,,,false,Deflect_Default,false,0.5,0.5,0.5,3,3,3,30,30,30,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,0.800000011920929,,1.5,Small,Small,Small,Small,Large_short,Large_short,,0.699999988079071,1,0.16249999403953552,0.32499998807907104
Spell_Bloodbath,Unarmed,0,0,true,Bullet,Magic,Corruption,false,,,false,Deflect_Default,false,0.20000000298023224,0.20000000298023224,0.20000000298023224,4,3,4,0,0,0,0,3,1,0.800000011920929,0,0,0,0,0,0,0,0,0,0,,0,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,0,0,0.16249999403953552,0.32499998807907104
Doomfist,Unarmed,0,0,false,Bullet,Magic,Corruption,false,,CorruptedLegion_Cyclops_ExhaustT5_Doomfist,true,Deflect_Default,false,1,1,1,4,3,4,20,25,20,0,3,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.16249999403953552,0.32499998807907104
UnhallowedGrounds_Fist,Unarmed,0,0,false,Bullet,Heavy,Strike,false,,,false,Deflect_Default,false,0.6000000238418579,0.6000000238418579,0.6000000238418579,2,3,8,20,25,20,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.16249999403953552,0.32499998807907104
UnhallowedGrounds_AoE,Unarmed,0,0,false,Bullet,Heavy,Strike,false,,,false,Deflect_Default,false,0.6000000238418579,0.6000000238418579,0.6000000238418579,3,3,3,20,25,20,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.16249999403953552,0.32499998807907104
Rolling_Blockade_AoE,Unarmed,0,0,false,Bullet,Magic,Corruption,false,,,false,Deflect_Default,false,0.30000001192092896,0.30000001192092896,0.30000001192092896,3,3,4,20,15,20,1,1,0,0.800000011920929,0,0,0,0.800000011920929,1,3,0,0.800000011920929,0,0.800000011920929,,1,Small,Small,Small,Small,Large_short,Large_short,,1,1,0.16249999403953552,0.32499998807907104
Rolling_Blockade_Ender,Unarmed,0,0,false,Bullet,Magic,Corruption,false,,,false,Deflect_Default,false,0.5,0.5,0.5,4,4,4,20,15,20,1,1,0,0.800000011920929,0,0,0,0.800000011920929,1,3,0,0.800000011920929,0,0.800000011920929,,1,Small,Small,Small,Small,Large_short,Large_short,,1,1,0.16249999403953552,0.32499998807907104
Bloodshot,Unarmed,0,0,true,Bullet,Magic,Corruption,true,,CorruptedLegion_Cyclops_Rend_BloodShot,true,Deflect_Default,false,0.20000000298023224,0.20000000298023224,0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,Small,Small,Small,Small,0.12999999523162842,1,0.16249999403953552,0.32499998807907104
Overhead_Slam,Unarmed,0,0,false,Bullet,Heavy,Strike,false,,AI_Stun_2sec,true,Deflect_Default,false,0.5,0.5,0.5,3,3,3,20,25,20,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,2,0,0.800000011920929,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,0.8999999761581421,1,0.16249999403953552,0.32499998807907104
Swipe_Left,Unarmed,0,0,false,Bullet,Light,Slash,false,,,false,Deflect_Default,false,0.30000001192092896,0.30000001192092896,0.30000001192092896,0,0,0,20,15,20,0.5,0.5,0,0.800000011920929,0,0,0,0.800000011920929,1,2,0,0.800000011920929,0,0.5,,1,Small,Small,Small,Small,Large_short,Large_short,,0.5,1,0.16249999403953552,0.32499998807907104
