DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer
Fire_Bow,CorruptedMagic,0,0,Bullet,Light,Corruption,true,,0,,false,Deflect_Default,false,0.25,1,1,0,1,0,10,5,10,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.699999988079071,1,0,
Corruption_Shot,CorruptedMagic,0,0,Bullet,Heavy,Corruption,true,,0,AI_Stun_4sec,true,Deflect_Default,false,1.5,1,1,8,8,8,40,35,40,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0.800000011920929,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,2,1,0,
CorruptionCore_Explode,Unarmed,1,0,Bullet,Heavy,Corruption,false,Corruption,50,AI_Naga_Corrupted_CorruptionCore,true,Deflect_Default,false,0.5,1,1,4,4,4,40,35,40,0,5,0,0.800000011920929,0,5,0,0.800000011920929,0,0,0,0.800000011920929,1,0.30000001192092896,0.30000001192092896,1,Small,Small,3,3,1,0,
Corruption_Vent,Unarmed,1,0,Bullet,Light,Corruption,false,Corruption,25,AI_Naga_Corrupted_CorruptionCore,true,Deflect_Default,false,1.350000023841858,1,1,0,0,0,15,10,15,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.4000000059604645,1,0,
Volley,Unarmed,0,0,Bullet,Light,Corruption,true,,0,,false,Deflect_Default,false,0.4749999940395355,1,1,0,0,0,15,10,15,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.4000000059604645,1,0,
Charge,Unarmed,0,0,Bullet,Light,Strike,false,,0,,false,Deflect_Default,false,1,1,1,2,2,2,20,20,20,0,3,0,0.800000011920929,0,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.4000000059604645,1,0,
Charge_Tail_Whip,Unarmed,0,0,Bullet,Light,Strike,false,,0,,false,Deflect_Default,false,1,1,1,3,3,3,35,30,35,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1,1,0,
Tail_Swipe,Unarmed,0,0,Bullet,Light,Strike,false,,0,,false,Deflect_Default,false,0.75,1,1,3,3,3,35,30,35,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1.2000000476837158,1,0,
Tail_Slam,Unarmed,0,0,Bullet,Light,Strike,false,,0,,false,Deflect_Default,false,1.2000000476837158,1,1,3,3,3,35,30,35,0,3,0,0.800000011920929,0,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1.399999976158142,1,0,
Rapid_Shot,CorruptedMagic,0,0,Bullet,Light,Corruption,true,,0,,false,Deflect_Default,false,0.10000000149011612,1,1,0,0,0,10,5,10,0,0.5,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.6000000238418579,1,0,
Explosive_Arrow,CorruptedMagic,0,0,Bullet,Light,Corruption,false,Corruption,25,,false,Deflect_Default,false,0.800000011920929,1,1,0,0,0,10,5,10,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1,1,0,
Pound,Unarmed,0,0,Bullet,Light,Corruption,false,,0,,false,Deflect_Default,false,1,1,1,3,3,3,35,30,35,0,3,0,0.800000011920929,0,3,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1.2000000476837158,1,0,
Corrupted_Flame,Unarmed,0,0,Bullet,Light,Corruption,false,Corruption,25,,false,Deflect_Default,false,1.25,1,1,2,2,2,25,20,25,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.800000011920929,1,0,
Fall,Fall,1,1,Bullet,,Falling,false,,0,,false,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,
Reaction_Breakout,Fall,1,1,Bullet,,Falling,false,,0,,false,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,0,0,0,
