DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,false,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1,1,0.16249999403953552,0.32499998807907104
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,false,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,0,0,1,0.16249999403953552,0.32499998807907104
SEH_Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,,,,,,false,Deflect_Default,false,0.5,1,,4,3,4,25,30,25,0,2.4000000953674316,0,0.699999988079071,0,0,0,0.699999988079071,0,2.4000000953674316,0,0.699999988079071,0,0,,5,Small,Small,3,0.8999999761581421,1,1,0.16249999403953552,0.32499998807907104
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,false,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1.9500000476837158,,10,Small,Small,0,1,1,1,0.16249999403953552,0.32499998807907104
Attack_Spawn_Landing,Sword,0,0,,Bullet,,Standard,,,,,,false,Deflect_Default,false,0,1,,3,3,3,30,30,30,0,1.7999999523162842,0,0.800000011920929,0,0,0,0.800000011920929,0,1.7999999523162842,0,0.800000011920929,0,0,,5,Small,Small,4,1,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_Overhead_Slam,Sword,0,0,,Bullet,Heavy,Strike,,,,,,false,Deflect_Default,false,0.800000011920929,1,,5,5,5,40,37,20,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,,5,Large,Large,3,1.75,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_TornadoSlash01,Sword,0,0,,Bullet,Heavy,Slash,,,,,AI_SandElementalHeavy_Exhaust_T2,true,Deflect_Default,false,0.3499999940395355,1,,0,0,2,24,21,30,0,0.25,0,0.5,0,0,0,0.5,0,2.299999952316284,0,0.699999988079071,0,0,,5,Small,Small,2,0.8500000238418579,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_TornadoSlash02,Sword,0,0,,Bullet,Heavy,Slash,,,,,AI_SandElementalHeavy_Exhaust_T2,true,Deflect_Default,false,0.550000011920929,1,,0,0,2,27,24,30,0,0.5,0,0.5,0,0,0,0.5,0,2.3499999046325684,0,0.699999988079071,0,0,,5,Small,Small,2,0.949999988079071,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_TornadoDrill,Sword,0,0,,Bullet,Heavy,Slash,,,,,,false,Deflect_Default,false,0.44999998807907104,1,,2,2,2,18,15,30,0,1.5,0,0.25,0,0,0,0.25,0,2.299999952316284,0,0.699999988079071,0,0,,5,Small,Small,2,0.5,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_SandDash,Sword,0,0,,Bullet,Light,Strike,,,,,,false,Deflect_Default,false,0.20000000298023224,1,,3,3,2,25,22,22,0,1,0,0.25,0,0,0,0.25,0,2.200000047683716,0,0.75,0,0,,5,Small,Small,1,0.3499999940395355,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_Signature_AoE,Sword,0,0,,Bullet,Magic,Nature,,,,,AI_SandElementalHeavy_AoESlow_T3,true,Deflect_Default,false,0.25,1,,3,2,5,30,30,20,0,1.5,0,0.800000011920929,0,0,0,0.800000011920929,0,1.5,0,0.800000011920929,0,0,,5,Large,Large,2,1.25,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_Signature_Slam,Sword,0,0,,Bullet,Heavy,Slash,,,,,,false,Deflect_Default,false,0.800000011920929,1,,5,5,5,60,50,25,0,2.4000000953674316,0,0.800000011920929,0,0,0,0.800000011920929,0,6,0,0.5,0,0,,5,Large,Large,4,1.5,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_BodyFall_Slam,Sword,0,0,,Bullet,Heavy,Strike,,,,,,false,Deflect_Default,false,0.20000000298023224,1,,1,1,1,15,10,20,0,0.25,0,0,0,0,0,0,0,0.5,0,0.800000011920929,0,0,,5,Large,Large,1,0.3499999940395355,1,1,0.16249999403953552,0.32499998807907104
SEH_Attack_StepForward,Sword,0,0,,Bullet,Heavy,Strike,,,,,,false,Deflect_Default,false,0.15000000596046448,1,,2,1,1,10,7,20,0,0.5,0,0,0,0,0,0,0,0.5,0,0.800000011920929,0,0,,5,Large,Large,1,0.25,1,1,0.16249999403953552,0.32499998807907104
