DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,Unblockable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Projectile_Shot,Unarmed,1,0,0,0,Bullet,Light,Strike,,,,,false,0.20000000298023224,1,1,0,1,1,5,10,15,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.20000000298023224,1,1,,,0.16249999403953552,0.32499998807907104
SnakeScream,Unarmed,1,0,0,0,Bullet,Heavy,Nature,,,,,false,0.20000000298023224,1,1,0,1,1,15,15,15,1,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.699999988079071,1,1,,,0.16249999403953552,0.32499998807907104
SnakeScream_Projectile,Unarmed,1,0,0,0,Bullet,Light,Nature,,,,,false,0.3499999940395355,1,1,2,3,2,15,15,15,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.20000000298023224,1,1,,,0.16249999403953552,0.32499998807907104
Slash_L,Unarmed,0,0,0,0,Bullet,Light,Nature,,,,,false,0.25,1,1,0,0,0,10,15,20,0.25,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.4000000059604645,1,1,,,0.16249999403953552,0.32499998807907104
Slash_R,Unarmed,0,0,0,0,Bullet,Light,Nature,,,,,false,0.25,1,1,0,0,0,10,15,20,-0.25,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.4000000059604645,1,1,,,0.16249999403953552,0.32499998807907104
SnakeTremor,Unarmed,1,0,0,0,Bullet,Light,Nature,,AI_Snare_2sec,,,false,0.30000001192092896,1,1,1,1,1,10,15,20,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.30000001192092896,1,1,,,0.16249999403953552,0.32499998807907104
SnakeTrail,Unarmed,1,0,0,0,Bullet,Light,Nature,,,,,false,0.25,1,1,1,1,1,15,20,25,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.800000011920929,1,1,,,0.16249999403953552,0.32499998807907104
SnakeProjectile,Unarmed,1,0,0,0,Bullet,Light,Strike,,,,,false,0.5,1,1,0,1,1,10,15,20,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.4000000059604645,1,1,,,0.16249999403953552,0.32499998807907104
Burrow,Unarmed,1,0,0,0,Bullet,Light,Nature,,AI_Snare_2sec,,,false,0.4000000059604645,1,1,1,1,1,10,15,20,0,-1.600000023841858,0,0.8999999761581421,0,-1.600000023841858,0,0.8999999761581421,0,-1.600000023841858,0,0.8999999761581421,0,1,,1,Small,Small,Small,3,0.30000001192092896,1,1,,,0.16249999403953552,0.32499998807907104
BurrowEnterExit,Unarmed,1,0,0,0,Bullet,Heavy,Nature,,AI_Snare_2sec,,,false,0.4000000059604645,1,1,2,2,2,20,25,25,1,3,0,0.800000011920929,0,3,0,0.800000011920929,0,1,0,0.800000011920929,0,1,,1,Small,Small,Small,3,0.5,1,1,,,0.16249999403953552,0.32499998807907104
