DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement
Attack,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Attack_Swipe,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Attack_Rampage,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.20000000298023224,1,1,0,0,0,15,10,15,0,0.25,0,0.800000011920929,0,0,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0.20000000298023224,,1,3,0.20000000298023224,1,Small ,,Small ,0
Attack_Run_Flurry,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.20000000298023224,1,1,0,0,0,20,15,20,0,0.25,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.20000000298023224,,1,3,0.20000000298023224,1,Small ,,Small ,0.4000000059604645
Attack_Run_Flurry_Slam,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.5,1,1,2,2,2,20,15,20,0,0.75,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.20000000298023224,,1,3,0.20000000298023224,1,Small ,,Small ,0.4000000059604645
Attack_Stretch_Smash,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.75,0.6499999761581421,1,2,2,2,20,15,20,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.5,,1,3,0.6000000238418579,1,Large,,Large,1
Attack_Grab,Blunt_AI,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,2,2,2,20,15,20,0,-4,0,0.800000011920929,0,0,0,0.800000011920929,0,-4,0,0.800000011920929,0,0.20000000298023224,,1,3,0.20000000298023224,1,Small ,,Small ,0.5
Attack_Grab_Bite,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,3,2,3,30,20,30,0,3,0,0.800000011920929,0,0,0,0.800000011920929,0,3,0,0.800000011920929,0,0.4000000059604645,,1,3,0.20000000298023224,1,Large,,Large,0.5
Vomit_Ball,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_Disease,,Deflect_Default,false,0.699999988079071,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Vomit_Puddle,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_Disease,,Deflect_Default,false,0.699999988079071,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Vomit_Spray,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_Disease,,Deflect_Default,false,0.699999988079071,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Sulfur_Bomb,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_Disease,,Deflect_Default,false,0.699999988079071,1,1,0,0,0,15,10,15,0,0.699999988079071,0,0.800000011920929,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0.10000000149011612,,1,3,0.10000000149011612,1,Small ,Small,Small ,0
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,1,1,Small,,Small,1
