DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,IsSiege,DamageType,Affliction,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,SurfaceImpactEffect,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageReceiverCooldown,HitRuneCharge,HitBlockedRuneCharge
Spike_T0,Unarmed,0,0,false,true,Standard,,,,,,Bullet,,false,1,1,0,2,2,2,0,0,0,0,1,0,0.800000011920929,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
PowderKeg_T1,Unarmed,0,0,false,true,Siege,,,,,,Bullet,,false,1,1,0,2,2,2,0,0,0,0,1,0,0.800000011920929,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Disease,Unarmed,0,1,false,true,,,,,,,Bullet,,false,1,1,0,2,2,2,0,0,0,0,1,0,0.800000011920929,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Tower_T0,Unarmed,0,0,false,true,Standard,,,,,,Bullet,,false,1,1,0,2,2,2,0,0,0,0,1,0,0.800000011920929,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
FireTrebuchet_DoT,Unarmed,0,1,false,true,Fire,,,,,,Bullet,,false,1.2000000476837158,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,0,0,0.16249999403953552,0.32499998807907104
FireTrebuchet_Explosion,Unarmed,0,0,false,true,Fire,,,,,,Bullet,,false,1.2000000476837158,1,0,4,3,4,50,30,50,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,1,1,,,,,4,1,1,1,0,0.16249999403953552,0.32499998807907104
Cannon_Projectile,CannonBall,0,0,true,true,Siege,,,,,,Bullet,,true,1,1.2999999523162842,1.2999999523162842,4,3,4,50,30,50,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,1,1,,Small,,Small,4,1,1,1,0,0.16249999403953552,0.32499998807907104
WitheredTrebuchet_Projectile,Unarmed,0,0,true,true,Strike,,,,,,Bullet,,false,1,1,0,4,3,4,50,30,50,0,4,0,0.800000011920929,0,4,0,0.800000011920929,0,1,1,,,,,4,1,1,1,0,0.16249999403953552,0.32499998807907104
WitheredTrebuchet_DoT,Unarmed,0,1,false,true,AfflictionDisease,AfflictionDisease,,,,,Bullet,,false,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
WitheredTrebuchet_Risen_Explosion,Unarmed,0,0,false,true,Strike,,,,,,Bullet,,false,1,1,0,2,2,2,25,20,25,0,2,0,0.800000011920929,0,2,0,0.800000011920929,0,1,1,,,,,2,1,1,1,0,0.16249999403953552,0.32499998807907104
BallistaTurret_Projectile,Ballista,0,0,true,true,Siege,,,,,,Bullet,,true,1,1.2999999523162842,1.2999999523162842,4,3,4,50,30,50,0,4,0,0.800000011920929,0,4,0,0.800000011920929,0,1,1,,Small,,Small,4,1,1,1,0,0.16249999403953552,0.32499998807907104
LandMine_Explosion,Unarmed,0,0,false,true,Strike,,,,,,Bullet,,false,1,1,0,4,3,4,50,30,50,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,1,1,,,,,4,1,1,1,0,0.16249999403953552,0.32499998807907104
FireMine_Explosion,Unarmed,0,1,false,true,Fire,,,,,,Bullet,,false,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
FireMine_DoT,Unarmed,0,1,false,true,Fire,,,,,,Bullet,,false,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0.49000000953674316,0.16249999403953552,0.32499998807907104
RepeaterTurret_Projectile,Bow,0,0,true,true,Thrust,,,,,,Bullet,,true,1.2000000476837158,1.149999976158142,1.149999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
OR_RepeaterTurret_Projectile,Bow,0,0,true,true,Siege,,,,,,Bullet,,true,1,1.149999976158142,1.149999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
FireBarrelDropper_Explosion,Unarmed,0,1,false,true,Fire,,,,,,Bullet,,false,1.2000000476837158,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
FireBarrelDropper_DoT,Unarmed,0,1,false,true,Fire,,,,,,Bullet,,false,1.3250000476837158,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0.49000000953674316,0.16249999403953552,0.32499998807907104
BombTurret_Explosion,Unarmed,0,0,false,true,Strike,,,,,,Bullet,,false,1.2000000476837158,1,0,3,2,4,30,20,50,0,4,0,0.800000011920929,0,2,0,0.800000011920929,0,1,1,,Small,,Small,4,1,1,1,0,0.16249999403953552,0.32499998807907104
VoidSpike,Beam_VoidSpike,0,0,true,true,Corruption,,,,,,Bullet,,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
FrostTrebuchet_DoT,Unarmed,0,1,false,true,AfflictionFrostbite,AfflictionFrostbite,,,,,Bullet,,false,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,0,0,0.16249999403953552,0.32499998807907104
Darkness_CorruptionEruption_DT1,Unarmed,0,0,false,true,Strike,,,,,,Bullet,,false,1,1,0,4,3,4,50,30,50,0,8,0,0.800000011920929,0,8,0,0.800000011920929,0,1,1,,,,,4,1,1,1,0,0.16249999403953552,0.32499998807907104
DungeonLaserBeam,Beam_Laser,1,0,true,true,Arcane,,,,Dungeon_LaserBeamDeath,,Bullet,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Gimmick_Explosive_Barrel,Unarmed,0,0,false,true,Standard,,,,,,Bullet,,false,1,1,0,2,2,2,50,30,50,0,3,0,0.5,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Gimmick_Falling_Rubble,Unarmed,0,0,false,true,Standard,,,,,,Bullet,,false,1,1,0,2,2,2,50,30,50,0,8,0,0.800000011920929,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
Sandworm_BreachEvent_Explosion,Unarmed,0,0,true,true,Standard,AfflictionBleed,,,,,Bullet,,false,1,1,1,4,4,4,100,100,100,0,100,0,0.5,0,0,0,0,0,3,3,,Large,Large,Large,4,1,1,1,0,0.16249999403953552,0.32499998807907104
Sandworm_BreachEvent_Fallout,Unarmed,0,0,true,true,Standard,AfflictionBleed,,,,,Bullet,,false,1,1,1,4,4,4,100,100,100,0,20,0,0.5,0,0,0,0,0,3,3,,Small,Small,Small,4,1,1,1,0,0.16249999403953552,0.32499998807907104
DungeonLaserBeamSmall,Unarmed,0,0,true,true,Arcane,,,,Dungeon_LaserBeamSmall,,Bullet,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,0,0.16249999403953552,0.32499998807907104
