DataPointId,Type,Cycle,DungeonId,MutatorLevel,GameEventType,IsPvP,IsWar,IsMajor,IsWin
BrimstoneSands_FastestClear_M_1,DungeonFastestClear,Monthly,BrimstoneSands,1,,,,,
BrimstoneSands_FastestClear_M_2,DungeonFastestClear,Monthly,BrimstoneSands,2,,,,,
BrimstoneSands_FastestClear_Y_1,DungeonFastestClear,Yearly,BrimstoneSands,1,,,,,
BrimstoneSands_FastestClear_Y_2,DungeonFastestClear,Yearly,BrimstoneSands,2,,,,,
FishScoreBest_W,FishScoreBest,Weekly,,0,,,,,
FishScoreBest_M,FishScoreBest,Monthly,,0,,,,,
FishScoreBest_Y,FishScoreBest,Yearly,,0,,,,,
BestFisherman_W,FishScoreSum,Weekly,,0,,,,,
BestFisherman_M,FishScoreSum,Monthly,,0,,,,,
BestFisherman_Y,FishScoreSum,Yearly,,0,,,,,
ProlificFisherman_W,FishTotal,Weekly,,0,,,,,
ProlificFisherman_M,FishTotal,Monthly,,0,,,,,
ProlificFisherman_Y,FishTotal,Yearly,,0,,,,,
FactionPointsPvE_W,FactionPoints,Weekly,,0,,NO,,,
FactionPointsPvE_M,FactionPoints,Monthly,,0,,NO,,,
FactionPointsPvE_Y,FactionPoints,Yearly,,0,,NO,,,
FactionPointsPvP_W,FactionPoints,Weekly,,0,,YES,,,
FactionPointsPvP_M,FactionPoints,Monthly,,0,,YES,,,
FactionPointsPvP_Y,FactionPoints,Yearly,,0,,YES,,,
FactionPoints_W,FactionPoints,Weekly,,0,,ANY,,,
FactionPoints_M,FactionPoints,Monthly,,0,,ANY,,,
FactionPoints_Y,FactionPoints,Yearly,,0,,ANY,,,
BreachesClosed_W1,BreachesClosed,Weekly,,0,,,,NO,
BreachesClosed_M1,BreachesClosed,Monthly,,0,,,,NO,
BreachesClosed_Y1,BreachesClosed,Yearly,,0,,,,NO,
BreachesClosed_W2,BreachesClosed,Weekly,,0,,,,YES,
BreachesClosed_M2,BreachesClosed,Monthly,,0,,,,YES,
BreachesClosed_Y2,BreachesClosed,Yearly,,0,,,,YES,
War_TotalKills_W,TotalKills,Weekly,,0,,ANY,YES,,
War_TotalKills_M,TotalKills,Monthly,,0,,ANY,YES,,
War_TotalKills_Y,TotalKills,Yearly,,0,,ANY,YES,,
Invasion_TotalKills_W,TotalKills,Weekly,,0,Invasion,ANY,YES,,
Invasion_TotalKills_M,TotalKills,Monthly,,0,Invasion,ANY,YES,,
Invasion_TotalKills_Y,TotalKills,Yearly,,0,Invasion,ANY,YES,,
SiegeWarWins_W,SiegeWarWins,Weekly,,0,,,,,YES
SiegeWarWins_M,SiegeWarWins,Monthly,,0,,,,,YES
SiegeWarWins_Y,SiegeWarWins,Yearly,,0,,,,,YES
SiegeWarLoses_W,SiegeWarWins,Weekly,,0,,,,,NO
SiegeWarLoses_M,SiegeWarWins,Monthly,,0,,,,,NO
SiegeWarLoses_Y,SiegeWarWins,Yearly,,0,,,,,NO
