ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
WoodsmanHead,@WoodsmanHead_MasterName,Armor,,@WoodsmanHead_Description,EquippableHead,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,WoodsmanHead,F_WoodsmanHead,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WoodsmanChest,@WoodsmanChest_MasterName,Armor,,@WoodsmanChest_Description,EquippableChest,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,ChestLong,,WoodsmanChest,F_WoodsmanChest,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WoodsmanHands,@WoodsmanHands_MasterName,Armor,,@WoodsmanHands_Description,EquippableHands,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,WoodsmanHands,F_WoodsmanHands,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WoodsmanLegs,@WoodsmanLegs_MasterName,Armor,,@WoodsmanLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,WoodsmanLegs,F_WoodsmanLegs,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WoodsmanFeet,@WoodsmanFeet_MasterName,Armor,,@WoodsmanFeet_Description,EquippableFeet,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,WoodsmanFeet,F_WoodsmanFeet,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
WoodsmanHatchet,@WoodsmanHatchet_MasterName,Weapon,,@WoodsmanHatchet_Description,EquippableMainHand+Hatchet+Melee,,,,0,0,0,0,0,0,Skin_Hatchet,,,,0,0,,,,,,,,,,,0,,0,0,0,ThrowingAxe,UI_Weapon,,,WoodsmanHatchet,,0,0,Items/Weapons/weapon,,,,1,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
ThespianHead,@ThespianHead_MasterName,Armor,,@ThespianHead_Description,EquippableHead,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,TwitchArmor_Hat,F_TwitchArmor_Hat,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
ThespianChest,@ThespianChest_MasterName,Armor,,@ThespianChest_Description,EquippableChest,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,TwitchArmor_Shirt,F_TwitchArmor_Shirt,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
ThespianHands,@ThespianHands_MasterName,Armor,,@ThespianHands_Description,EquippableHands,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,TwitchArmor_Gloves,F_TwitchArmor_Gloves,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
ThespianLegs,@ThespianLegs_MasterName,Armor,,@ThespianLegs_Description,EquippableLegs,,,,0,0,0,0,0,0,GenericItemSkin,,,,0,0,,,,,,,,,,,0,,0,0,0,,,TwitchArmor_Pants,F_TwitchArmor_Pants,,,0,0,,,,,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
