LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,TriggerLimitOnVisit,UseLevelGS,HWMMult,IgnoreHWMGS,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
Armor_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,[LTID]SeasonsArmorBySlot,,,[LTID]SeasonsArmorBySlot_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot,OR,IgnoreBonus,,0,,,0,,,,0,[LBID]SeasonsArmorHeadInferno,,,[LBID]SeasonsArmorChestInferno,,,[LBID]SeasonsArmorHandsInferno,,,[LBID]SeasonsArmorLegsInferno,,,[LBID]SeasonsArmorFeetInferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot_Leg,OR,IgnoreBonus,,0,,,0,,,,0,[LBID]SeasonsArmorHeadInferno_Leg,,,[LBID]SeasonsArmorChestInferno_Leg,,,[LBID]SeasonsArmorHandsInferno_Leg,,,[LBID]SeasonsArmorLegsInferno_Leg,,,[LBID]SeasonsArmorFeetInferno_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot_Leg_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsArmorBySlot_Leg_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_Loot,OR,IgnoreBonus,,0,,,0,,,,0,[LTID]Weapon_Box_S1_Inferno_STR,,,[LTID]Weapon_Box_S1_Inferno_DEX,,,[LTID]Weapon_Box_S1_Inferno_INTFOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,100000,0,,,33333,,,66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_STR,AND,,,0,,,0,,,,0,[LBID]SeasonsWeaponInfernoSTR_Leg,,,[LBID]SeasonsWeaponInfernoDEX,,,[LBID]SeasonsWeaponInfernoINTFOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_STR_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_STR_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_DEX,AND,,,0,,,0,,,,0,[LBID]SeasonsWeaponInfernoSTR,,,[LBID]SeasonsWeaponInfernoDEX_Leg,,,[LBID]SeasonsWeaponInfernoINTFOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_DEX_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_DEX_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_INTFOC,AND,,,0,,,0,,,,0,[LBID]SeasonsWeaponInfernoSTR,,,[LBID]SeasonsWeaponInfernoDEX,,,[LBID]SeasonsWeaponInfernoINTFOC_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_INTFOC_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon_Box_S1_Inferno_INTFOC_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinket_Box_S1_Inferno_Loot,OR,IgnoreBonus,,0,,,0,,,,0,[LTID]SeasonsAmuletsInferno_Leg,,,[LTID]SeasonsEarringsInferno_Leg,,,[LTID]SeasonsRingsInferno_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinket_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinket_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,100000,0,,,33333,,,66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsAmuletsInferno_Leg,AND,,,0,,,0,,,,0,[LBID]SeasonsAmuletsInferno_Leg,,,[LBID]SeasonsEarringsInferno,,,[LBID]SeasonsRingsInferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsAmuletsInferno_Leg_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsAmuletsInferno_Leg_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsEarringsInferno_Leg,AND,,,0,,,0,,,,0,[LBID]SeasonsAmuletsInferno,,,[LBID]SeasonsEarringsInferno_Leg,,,[LBID]SeasonsRingsInferno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsEarringsInferno_Leg_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsEarringsInferno_Leg_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsRingsInferno_Leg,AND,,,0,,,0,,,,0,[LBID]SeasonsAmuletsInferno,,,[LBID]SeasonsEarringsInferno,,,[LBID]SeasonsRingsInferno_Leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsRingsInferno_Leg_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonsRingsInferno_Leg_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,FoodSTRT5b,,,FoodDEXT5b,,,FoodINTT5b,,,FoodCONT5b,,,FoodCONFOCT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,EssenceEarthT1,,,EssenceAirT1,,,EssenceFireT1,,,EssenceWaterT1,,,EssenceLifeT1,,,EssenceSpiritT1,,,EssenceDeathT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gem_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,AmethystT4,,,AquamarineT4,,,DiamondT4,,,EmeraldT4,,,JasperT4,,,MalachiteT4,,,MoonstoneT4,,,OnyxT4,,,OpalT4,,,RubyT4,,,SapphireT4,,,TopazT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gem_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gem_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crafting_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,ClothT51,,,LeatherT51,,,TimberT51,,,BlockT51,,,IngotT51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crafting_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,3,,,3,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crafting_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combatants_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,OakfleshBalmT5,,,HoningStoneT5,,,GemstoneDustT5,,,IncenseT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combatants_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,5,,,5,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combatants_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvage_Box_S1_Inferno_Loot,AND,,,0,,,0,,,,0,PerfectSalvageEngineerT51,,,PerfectSalvageArcaneT51,,,PerfectSalvageArmorT51,,,PerfectSalvageJewelryT51,,,PerfectSalvageWeaponsT51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvage_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,4,,,2,,,6,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvage_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture_Box_S1_Inferno_Loot,OR,,,0,,,0,,,,0,[LTID]Furniture_Box_S1_Inferno_Bedroom,,,[LTID]Furniture_Box_S1_Inferno_Livingroom,,,[LTID]Furniture_Box_S1_Inferno_Diningroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture_Box_S1_Inferno_Loot_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture_Box_S1_Inferno_Loot_Probs,,,,0,,,0,,,,1,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture_Box_S1_Inferno_Bedroom,OR,,,0,,,0,,,,0,[LTID]Furniture_Bedroom_Inferno_Dynasty,,,[LTID]Furniture_Bedroom_Inferno_Legion,,,[LTID]Furniture_Bedroom_Inferno_Pirate,,,[LTID]Furniture_Bedroom_Inferno_Settler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furniture_Box_S1_Inferno_Bedroom_Qty,,,,0,,,0,,,,0,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
