MissionID,MissionTier,ObjectiveID,IsCustomObjective,CategoricalProgressionId,IsPvpMission,AvailableTerritoryId,RequiredFaction,RequiredAchievementConditional,RequiredFortControlStatus,ReturnToGiverOverride,IsSettlementValidDestination,IsOutpostValidDestination,TaskKillContributionOverride,TaskKillContributionQtyOverride,TerritoryIDOverride,POITagOverride,TaskGiveAndTakeItemOverride,TaskHaveAndReturnItemsOverride,TaskHaveAndReturnItemsQtyOverride,TaskHaveAndReturnItemsDropProbabilityOverride,TaskHaveAndReturnChestDropProbabilityOverride,TaskHaveAndReturnItemsItemsDropVCOverride,LootTagOverride,PauseAndClearLootOnTaskCompleteOverride,TurninDistance,TaskTimerOverride,SuccessGameEventIdOverride,FailureGameEventIdOverride,TitleOverride,DescriptionOverride,ImagePath,MissionGoalType,ProviderDistanceLimit,MinLevel,MaxLevel,RequiredTradeskill,TradeskillLevel,Enabled,DevName,VCLevelRange,RecommendedGroupSize,PatrolDuration,PatrolPoi1,PatrolPoi2,PatrolPoi3,PatrolPoi4,GrantRewardsToOriginTerritory,ORMReleaseEventTagsOverride,OverrideLocation
Kill_3_Withered_devworld_farm,1,M_killx_location,false,,false,74,,,0,true,false,false,Withered,3,0,devworld_farm,,,0,0,0,,,false,,0,FactionMission_Success_R1_Md,FactionMission_Failure,@M_killx_location_title,@M_killx_location_desc,LyShineUI\Images\MissionImages\missionImage_withered1.png,Kill,990,0,60,,0,false,DevWorld_Farm,1-60,0,0,,,,,false,,
Kill_3_Wolf_devworld_cave,1,M_killx_location,false,,false,75,,,0,true,false,false,Wolf,3,0,devworld_cave,,,0,0,0,,,false,,0,FactionMission_Success_R1_Md,FactionMission_Failure,@M_killx_location_title,@M_killx_location_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Kill,990,0,60,,0,false,DevWorld_Cave,1-60,0,0,,,,,false,,
PVP_Patrol_DevWorld_Farm,1,PVP_patrol_mission,false,,true,74,,,0,true,false,false,,0,0,,,,0,0,0,,,false,,0,PVPMission_Success_R2_Lg,PVPMission_Failure,@objective_mission_task_patrol_windsward,,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,0,,0,false,DevWorld_PVP_Patrol,,0,15,DevWorld_Farm,,,,false,,
PVP_Retrieve_DevWorld_Farm,1,PVP_fetch_location,false,,true,74,,,0,true,false,false,,0,0,devworld_farm,,PVP_TimberBundle_1,1,0,100,,,true,,0,PVPMission_Success_R2_Md,PVPMission_Failure,@M_fetch_title,@M_fetch_desc,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,0,,0,false,DevWorld_PVP_Fetch,,0,0,,,,,false,,
PVP_delivery_DevWorld_Blue,1,PVP_delivery,false,,true,74,,,0,false,true,false,,0,0,,PVP_TimberBundle_1,PVP_TimberBundle_1,1,0,0,,,false,,7200,PVPMission_Success_R4_Lg,PVPMission_Failure,@owg_title_merchantt1,@owg_desc_merchantt1,LyShineUI\Images\MissionImages\missionType_creative.png,Courier,0,,0,,0,false,,,0,0,,,,,true,,
PVP_Patrol_DevWorld_Cave,1,PVP_patrol_mission,false,,true,75,,,0,true,false,false,,0,0,,,,0,0,0,,,false,,0,PVPMission_Success_R2_Lg,PVPMission_Failure,@objective_mission_task_patrol_windsward,,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,0,,0,false,DevWorld_PVP_Patrol,,0,15,DevWorld_Cave,,,,false,,
PVP_Retrieve_DevWorld_Cave,1,PVP_fetch_location,false,,true,75,,,0,true,false,false,,0,0,devworld_cave,,PVP_TimberBundle_1,1,0,100,,,true,,0,PVPMission_Success_R2_Md,PVPMission_Failure,@M_fetch_title,@M_fetch_desc,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,,0,,0,false,DevWorld_PVP_Fetch,,0,0,,,,,false,,
PVP_delivery_DevWorld_Red,1,PVP_delivery,false,,true,75,,,0,false,true,false,,0,0,,PVP_TimberBundle_1,PVP_TimberBundle_1,1,0,0,,,false,,7200,PVPMission_Success_R4_Lg,PVPMission_Failure,@owg_title_merchantt1,@owg_desc_merchantt1,LyShineUI\Images\MissionImages\missionType_creative.png,Courier,0,,0,,0,false,,,0,0,,,,,true,,
Multiobjective_Test_Devworld_1,1,74_Basic_Mission_1,true,,false,74,,,0,true,false,false,,0,0,devworld_farm,,,0,0,0,,,true,,0,FactionMission_Success_R1_Sm,FactionMission_Failure,This Is The Title,This Is The Description,LyShineUI\Images\MissionImages\missionType_kill.png,Explore,1500,0,60,,0,false,,1-60,0,0,,,,,false,,
FM_Raid_0201,1,FM_killx_location,false,,false,2,Marauder,,0,true,false,false,Haunted,5,0,abandoned_village_40254,,,0,0,0,,,true,,0,FactionV2_27,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,0,24,31,,0,true,,27,0,0,,,,,false,,
