RowPlaceholders,Bucket1,Tag1,MatchOne1,RewardId1,Entitlement1,GameEvent1,Item1,Name1,Description1,Quantity1,CategoricalProgressionId1,BuyCategoricalProgressionCost1,RandomWeights1,RollOnPresent1,IconPath1,UseLevelGS1,BudgetContribution1,Type1,SelectOnceOnly1,ExcludeTypeStage1,ExcludeTypeShop1,Bucket2,Tag2,MatchOne2,RewardId2,Entitlement2,GameEvent2,Item2,Name2,Description2,Quantity2,CategoricalProgressionId2,BuyCategoricalProgressionCost2,RandomWeights2,RollOnPresent2,IconPath2,UseLevelGS2,BudgetContribution2,Type2,SelectOnceOnly2,ExcludeTypeStage2,ExcludeTypeShop2,Bucket3,Tag3,MatchOne3,RewardId3,Entitlement3,GameEvent3,Item3,Name3,Description3,Quantity3,CategoricalProgressionId3,BuyCategoricalProgressionCost3,RandomWeights3,RollOnPresent3,IconPath3,UseLevelGS3,BudgetContribution3,Type3,SelectOnceOnly3,ExcludeTypeStage3,ExcludeTypeShop3
FIRSTROW,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA1,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA2,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA3,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA4,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA5,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA6,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA7,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA8,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA9,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA10,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA11,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA12,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA13,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA14,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA15,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA16,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA17,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA18,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA19,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA20,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA21,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA22,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA23,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA24,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA25,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA26,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA27,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA28,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA29,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA30,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA31,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA32,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA33,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA34,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA35,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA36,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA37,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA38,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA39,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA40,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA41,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA42,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA43,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA44,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA45,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA46,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA47,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA48,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA49,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA50,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA51,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA52,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA53,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA54,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA55,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA56,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
DATA57,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,,,,false,,,,,,,0,,0,0,false,,false,0,,false,,
