WarboardStatID,InGameStat,EndGameStat,AG_TotalDamageDealt,AG_HealingDone,AG_Score,AG_AITakedowns,AG_PlayerTakedowns,AG_TotalResourcesDeposited
KillsWithWeapons,true,true,0,0,50,0,1,0
AIKills,false,false,0,0,10,0,0,0
InfusedWoodGathered,false,false,0,0,0,0,0,0
InfusedOreGathered,false,false,0,0,0,0,0,0
InfusedHideGathered,false,false,0,0,0,0,0,0
InfusedWoodDeposited,false,false,0,0,2,0,0,0
InfusedOreDeposited,false,false,0,0,2,0,0,0
InfusedHideDeposited,false,false,0,0,2,0,0,0
AzothEssenceDeposited,false,false,0,0,1,0,0,0
DamageToPlayers,false,true,1,0,0.009999999776482582,0,0,0
DamageToAI,false,false,1,0,0.0024999999441206455,0,0,0
DamageToOther,false,false,1,0,0.0024999999441206455,0,0,0
DamageWithSiegeWeapons,false,false,1,0,0.004999999888241291,0,0,0
HealingDoneToSelf,true,true,0,1,0,0,0,0
HealingDoneToAllies,true,true,0,1,0.007499999832361937,0,0,0
TotalDamageDealt,true,true,0,0,0,0,0,0
HealingDone,false,true,0,0,0,0,0,0
Score,false,true,0,0,0,0,0,0
PlayerAssists,false,true,0,0,50,0,1,0
AIAssists,false,false,0,0,15,0,0,0
Deaths,true,true,0,0,0,0,0,0
AlliesRevived,false,false,0,0,0,0,0,0
AITakedowns,false,false,0,0,0,0,0,0
PlayerTakedowns,false,true,0,0,50,0,1,0
CapturePointContests,false,false,0,0,0.05000000074505806,0,0,0
TotalResourcesDeposited,false,false,0,0,0,0,0,0
