GatherableID,DisplayName,GatheringAction,GatheringType,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
95A_S02_Mural1,@95A_S02_Mural1_DisplayName,None,None,Emote_Pondering,Empty,,30,40,None,,,2,0,NoToolNecessary,0,95A_S02_Mural1_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_MarketStone,@95A_S02_MarketStone_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_MarketStone_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_SharifCage,@95A_S02_SharifCage_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,2,0,NoToolNecessary,0,95A_S02_SharifCage_interact,95a_s02_CageKey_item,1,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_WordOfWater,@95A_S02_WordOfWater_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_WordOfWater_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_GeyserDoorPedestal,@95A_S02_GeyserDoorPedestal_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,3,0,NoToolNecessary,1,95A_S02_GeyserDoorPedestal_interact,95a_s02_WordofWater_item,1,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_RoyalEgg1,@95A_S02_RoyalEgg1_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,2,0,NoToolNecessary,1,95A_S02_RoyalEgg1_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_SatyrFlute,@95A_S02_SatyrFlute_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_SatyrFlute_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_LionMeatSpice,@95A_S02_LionMeatSpice_DisplayName,Cutting,Cutting,,Empty,,200,300,Harvesting,0,,3,0,NoToolNecessary,1,95A_S02_LionMeatSpice_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_LionDish,@95A_S02_LionDish_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_LionDish_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_LionSong,@95A_S02_LionSong_DisplayName,None,None,Interact_S2_FluteGatherSounds,Empty,,200,300,None,,,9.5,0,NoToolNecessary,0,95A_S02_LionSong_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_PeacockFeathers,@95A_S02_PeacockFeathers_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_PeacockFeathers_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_PeacockStatue,@95A_S02_PeacockStatue_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,2,0,NoToolNecessary,0,95A_S02_PeacockStatue_interact,95a_s02_PeacockFeather_item,3,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_PeacockSong,@95A_S02_PeacockSong_DisplayName,None,None,Interact_S2_FluteGatherSounds,Empty,,200,300,None,,,9.5,0,NoToolNecessary,0,95A_S02_PeacockSong_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_JackalSong,@95A_S02_JackalSong_DisplayName,None,None,Interact_S2_FluteGatherSounds,Empty,,200,300,None,,,9.5,0,NoToolNecessary,0,95A_S02_JackalSong_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_OpenCaveSong,@95A_S02_OpenCaveSong_DisplayName,None,None,Interact_S2_FluteOpenDoor,Empty,,200,300,None,,,16.5,0,NoToolNecessary,0,95A_S02_OpenCaveSong_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_LuteChest,@95A_S02_LuteChest_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,3,0,NoToolNecessary,1,95A_S02_LuteChest_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_EggAltarAmbush,@95A_S02_EggAltarAmbush_DisplayName,Handcrafting,None,,Empty,,86400,86400,None,,,1,0,NoToolNecessary,1,,,0,,,false,false,false,,false,,,false,,,,,,,,,,
95A_S02_MapRoomInteract,@95A_S02_MapRoomInteract_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_MapRoomInteract_interact,95a_s02_WordofStone_item,1,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_RoyalEgg2,@95A_S02_RoyalEgg2_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,2,0,NoToolNecessary,1,95A_S02_RoyalEgg2_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_DroneEggshells,@95A_S02_DroneEggshells_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_DroneEggshells_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_DroneEggDestructible,@95A_S02_DroneEggDestructible_DisplayName,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_DroneEggDestructible_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_RoyalEggDestructible,@95A_S02_RoyalEggDestructible_DisplayName,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,0,95A_S02_RoyalEggDestructible_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_SharifEggBasket,@95A_S02_SharifEggBasket_DisplayName,Handcrafting,None,,Empty,,200,300,None,,,2,0,NoToolNecessary,1,95A_S02_SharifEggBasket_interact,95a_s02_MysteriousEgg_item,1,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_FollowSharif1,@95A_S02_ExamineTracks,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_FollowSharif1_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_FollowSharif2,@95A_S02_FollowTracks,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_FollowSharif2_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_FollowSharif3,@95A_S02_FollowTracks,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_FollowSharif3_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_FollowSharif4,@95A_S02_FollowTracks,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_FollowSharif4_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
95A_S02_FollowSharif5,@95A_S02_ExamineTracks,None,None,,Empty,,200,300,None,,,1,0,NoToolNecessary,1,95A_S02_FollowSharif5_interact,,0,,,true,true,false,,false,,,false,,,,,,,,,,
94_EF_Checkpoint0,,None,None,,Empty,,7,7,None,,,1,0,NoToolNecessary,0,IO_94_EF_Checkpoint0_Interact,,0,,,true,false,false,,false,,,false,,,,,,,,,,
99E_MSQ_01_IGC_EdengroveStory,,None,None,,,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_01_IGC_EdengroveStory_interact,0,,,false,false,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Obs_AncientMuralA,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Obs_AncientMuralA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Obs_AncientMuralB,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Obs_AncientMuralB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Obs_AncientMuralC,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Obs_AncientMuralC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerA,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerB,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerC,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsA,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsB,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsB_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsC,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsC_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsD,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsD_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsE,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsE_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsF,,None,None,,Empty,,10,15,,None,,0,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsF_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_01_Cine_AncientMural,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,200,300,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_01_Cine_AncientMural_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
99E_MSQ_02_MyrddinRelicA,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,0,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicA_interact,0,,,false,true,true,,false,,,false,,,,,,,,,,
