SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Elemental_Fire_AoE,Elemental_Fire_AoE,0,,,false,false,false,false,,false,,false,,,,,true,true,Elemental_Fire_AoE,false,1000,,5,,3,,,,30,5,0,,,1,,,,,,0,0,,,,Enemy,Elemental,AoE,,,,Fire,false,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_Fire_Projectile,,0,,,false,false,false,false,,false,,false,,,,,false,true,FireStaff_Primary,false,-1,,0,,0,,,,10,0,0,,,0,,,,,,0,0,,,,Enemy,Ability,Projectile,,,,Fire,false,true,false,false,,FireBall,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC1,,,,,Items/Weapons/spell_proj_fire,,,,
Elemental_Fire_Projectile_Charged,,0,,,false,false,false,false,,false,,false,,,,,false,true,FireStaff_Heavy,false,-1,,0,,0,,,,5,0,0,,,0,,,,,,0,0,,,,Enemy,Ability,Projectile,,,,Fire,false,true,false,false,,FireBall,Charged,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged,,,,
Elemental_Fire_Projectile_Charged_Range_Upgrade,,0,,,false,false,false,false,,false,,false,,,,,false,true,FireStaff_Heavy,false,-1,,0,,0,,,,10,0,0,,,0,,,,,,0,0,,,,Enemy,Ability,Projectile,,,,Fire,false,true,false,false,,FireBall,Charged_Range,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged_Range,,,,
Elemental_Fire_Projectile_Charged_Speed_Upgrade,,0,,,false,false,false,false,,false,,false,,,,,false,true,FireStaff_Heavy,false,-1,,0,,0,,,,10,0,0,,,0,,,,,,0,0,,,,Enemy,Ability,Projectile,,,,Fire,false,true,false,false,,FireBall,Charged_Speed,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC3,,,,,items/Weapons/spell_proj_Fire_Charged_Speed,,,,
Elemental_Fire_AoE_Channel,Elemental_Fire_AoE_Staff,0,,,false,false,false,false,,false,,false,,,,,true,true,Elemental_Fire_AoE_Staff,false,6000,,5,,3,,,,30,5,0,,,6,,,,,,0,0,,,,Enemy,Elemental,AoE,,,,Fire,false,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_Fire_Combustion_AOE,,0,,,false,false,false,false,,false,,false,,,,,true,true,Elemental_Fire_AoE,false,1000,,2,,2,,,,0,0,0,,,0,,,,,,0,0,,,,Enemy,Elemental,AoE,,,,Fire,false,true,false,false,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_Combustion_AOE,,,,,,,,,
Elemental_Fire_Projectile_Special,,0,,,false,false,false,false,,false,,false,,,,,false,true,Elemental_Fire_Projectile_Special,false,-1,,0,,0,,,,10,0,0,,,0,,,,,,0,0,,,,Enemy,Elemental,Projectile,,,,Fire,false,true,false,false,,FireBall,Basic,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_proj_fire,,,,
Elemental_Fire_Meteor,,0,,,false,false,false,false,,false,,false,,,,,false,true,Elemental_Fire_AoE_Staff,false,6000,,20,,8,,,,30,20,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,false,true,false,false,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_meteor_spawn,Items/Weapons/spell_Meteor_Explosion,,,
Elemental_Fire_Grenade,,0,,,false,false,false,false,,false,,false,,,,,false,true,Elemental_Fire_Grenade,false,-1,,0,,1,,,,10,0,0,,,0,,,,,,0,0,,,,Enemy,Elemental,Projectile,,,,Fire,false,true,false,false,,FireBall,FireGrenade,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_FireGrenade_Projectile,,,,
