SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Celestial_Heal_AoE,Celestial_Heal_AoE,0,false,false,false,false,false,,,false,false,false,false,false,false,,true,true,Celestial_Heal_AoE,false,6000,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_AoE_Staff,Celestial_Heal_AoE,0,false,false,false,false,false,,,false,false,false,false,false,false,,true,true,Celestial_Heal_AoE_Staff,false,6000,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_Self,,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,Celestial_Heal_AoE,false,200,,1,,1,,,,1,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
Celestial_Heal_Projectile,Celestial_Heal_AoE,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,Celestial_Heal_AoE,false,6000,,0,,0,,,,10,0,,,,0,,,,,,,,,,,Friend,Celestial,Projectile,,,,,false,true,,,,HealBall,Basic,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_proj_heal,,,,
Celestial_Heal_Siphon_Projectile,,0,false,true,false,false,false,,,false,false,false,true,true,false,,false,true,Celestial_Heal_AoE,false,-1,,0,,0,,,,10,0,,,,0,,,,,,,,,,,Enemy,Celestial,Projectile,,,,,false,true,,,,Siphon,Basic,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_proj_siphon,,Celestial_Heal_Siphon,,
Celestial_Heal_Siphon,Elemental_Fire_AoE,0,false,true,false,false,false,,,false,false,false,true,true,false,,true,true,Celestial_Heal_AoE,false,10000,,0,,8,,,,30,5,,,,0,,,,,,,,,,,Enemy,Celestial,AoE,,,Sphere,Fire,false,true,,,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_FireProjectile,,,,,Items/Weapons/spell_siphon,,Celestial_Heal_AoE,,
Celestial_Revive,,0,true,false,false,false,false,,,false,false,false,false,false,false,,true,true,Celestial_Revive,false,1000,,5,,15,,,,1,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_Celestial_Life_Revive,,,,
Celestial_Life_DMG_Absorb,Celestial_Life_DMG_Absorb,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,Celestial_Life_DMG_Absorb,false,20000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_Celestial_Life_DMG_Absorb,,,,
Celestial_Life_DMG_Bonus,Celestial_Life_DMG_Bonus,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,Celestial_Life_DMG_Bonus,false,10000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
LifeStaff_Light_Projectile,,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,LifeStaff_Primary,false,-1,,0,,0,,,,10,0,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,false,true,,,,LifeStaff,Primary,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC1,,,,,Items/Weapons/LifeStaff_Primary_proj,,,,
LifeStaff_Heavy_Projectile,,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,true,LifeStaff_Heavy,false,-1,,0,,0,,,,10,0,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,false,true,,,,LifeStaff,Heavy,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC2,,,,,Items/Weapons/LifeStaff_Heavy_proj,,,,
LifeStaff_Heavy_Upgrade_Projectile,,0,false,false,false,false,false,,,true,true,false,false,false,false,,false,true,LifeStaff_Heavy,false,-1,,0,,0,,,,10,0,,,,0,,,,,,,,,,,All,Ability,Projectile,,,,,false,true,,,,LifeStaff,Heavy,,,,,,,,,,,,,,,,DamageTable,LifeStaff_PrimaryAttackC2,,,,,Items/Weapons/LifeStaff_Heavy_proj_Upgrade,Items/Weapons/LifeStaff_Heavy_Upgrade_Explosion,LifeStaff_Heavy_Heal,,
LifeStaff_Heavy_Heal,LifeStaff_Heavy_Upgrade_HoT,0,false,false,false,false,false,,,false,false,false,false,false,false,,false,false,,true,500,,5,,1.3300000429153442,,,,25,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/LifeStaff_Heavy_Upgrade_Explosion,,,,
LifeStaff_HolyShield,,0,false,false,false,false,false,,,false,false,false,false,false,false,,true,true,LifeStaff_HolyShield,false,15000,,5,,4.800000190734863,,,,20,5,,,,15,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Life_Staff_HolyShield,,,,
LifeStaff_HolyShield_Radius_Upgrade,,0,false,false,false,false,false,,,false,false,false,false,false,false,,true,true,LifeStaff_HolyShield,false,15000,,5,,4.800000190734863,,,,20,5,,,,15,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Life_Staff_HolyShield_Upgrade,,,,
LifeStaff_HolyShield_Mana_Upgrade,,0,false,false,false,false,false,,,false,false,false,false,false,false,,true,true,LifeStaff_HolyShield_Mana_Upgrade,false,15000,,5,,4.800000190734863,,,,20,5,,,,15,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Life_Staff_HolyShield_Upgrade,,,,
LifeStaff_HealingWave,LifeStaff_HealingWave_HoT,0,false,false,false,false,false,,,false,false,false,false,false,true,,false,false,LifeStaff_HealingWave,true,500,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
LifeStaff_HealingWave_Mana_Upgrade,LifeStaff_HealingWave_HoT,0,false,false,false,false,false,,,false,false,false,false,false,true,,false,false,Celestial_Heal_AoE_Staff_Mana_Upgrade,true,500,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,Sphere,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_heal,,,,
