Level,UpkeepCost,LevelStipend,IntervalStipend,IntervalEarningsCap,CapModifier,NumberOfUpgradesRegressed,WardecCost,TradingPostLevel,EarningsDistributionTID2,EarningsDistributionTID4,EarningsDistributionTID5,EarningsDistributionTID6,EarningsDistributionTID8,EarningsDistributionTID9,EarningsDistributionTID10,EarningsDistributionTID11,EarningsDistributionTID12,EarningsDistributionTID13,EarningsDistributionTID15,EarningsDistributionTID16,TotalDistributionCheck
0,1000000,0,0,100000000,1,0,1000000,0,0.0024999999441206455,0.003100000089034438,0.0019000000320374966,0.003100000089034438,0.0024999999441206455,0,0.0013000000035390258,0.0019000000320374966,0.0024999999441206455,0.0019000000320374966,0.0013000000035390258,0.003100000089034438,0.025100000202655792
1,1000000,0,0,100000000,1,0,1000000,0,0.004999999888241291,0.006300000008195639,0.003800000064074993,0.006300000008195639,0.004999999888241291,0,0.0024999999441206455,0.003800000064074993,0.004999999888241291,0.003800000064074993,0.0024999999441206455,0.006300000008195639,0.0502999983727932
2,1000000,0,0,100000000,1.024999976158142,0,1000000,0,0.007499999832361937,0.009399999864399433,0.00559999980032444,0.009399999864399433,0.007499999832361937,0,0.003800000064074993,0.00559999980032444,0.007499999832361937,0.00559999980032444,0.003800000064074993,0.009399999864399433,0.07509999722242355
3,1000000,0,0,100000000,1.0499999523162842,0,1000000,1,0.009999999776482582,0.012500000186264515,0.007499999832361937,0.012500000186264515,0.009999999776482582,0,0.004999999888241291,0.007499999832361937,0.009999999776482582,0.007499999832361937,0.004999999888241291,0.012500000186264515,0.10000000149011612
4,1000000,0,0,100000000,1.0750000476837158,0,1000000,1,0.012500000186264515,0.015599999576807022,0.009399999864399433,0.015599999576807022,0.012500000186264515,0,0.006300000008195639,0.009399999864399433,0.012500000186264515,0.009399999864399433,0.006300000008195639,0.015599999576807022,0.1251000016927719
5,1000000,0,0,100000000,1.100000023841858,0,1000000,1,0.014999999664723873,0.018799999728798866,0.011300000362098217,0.018799999728798866,0.014999999664723873,0,0.007499999832361937,0.011300000362098217,0.014999999664723873,0.011300000362098217,0.007499999832361937,0.018799999728798866,0.15029999613761902
6,1000000,0,0,100000000,1.125,0,1000000,2,0.017500000074505806,0.021900000050663948,0.013100000098347664,0.021900000050663948,0.017500000074505806,0,0.008799999952316284,0.013100000098347664,0.017500000074505806,0.013100000098347664,0.008799999952316284,0.021900000050663948,0.17509999871253967
7,1000000,0,0,100000000,1.149999976158142,0,1000000,2,0.019999999552965164,0.02500000037252903,0.014999999664723873,0.02500000037252903,0.019999999552965164,0,0.009999999776482582,0.014999999664723873,0.019999999552965164,0.014999999664723873,0.009999999776482582,0.02500000037252903,0.20000000298023224
8,1000000,0,0,100000000,1.1749999523162842,0,1000000,2,0.02250000089406967,0.02810000069439411,0.016899999231100082,0.02810000069439411,0.02250000089406967,0,0.011300000362098217,0.016899999231100082,0.02250000089406967,0.016899999231100082,0.011300000362098217,0.02810000069439411,0.22509999573230743
9,1000000,0,0,100000000,1.2000000476837158,0,1000000,3,0.02500000037252903,0.031300000846385956,0.018799999728798866,0.031300000846385956,0.02500000037252903,0,0.012500000186264515,0.018799999728798866,0.02500000037252903,0.018799999728798866,0.012500000186264515,0.031300000846385956,0.25029999017715454
10,1000000,0,0,100000000,1.225000023841858,0,1000000,3,0.027499999850988388,0.03440000116825104,0.020600000396370888,0.03440000116825104,0.027499999850988388,0,0.013799999840557575,0.020600000396370888,0.027499999850988388,0.020600000396370888,0.013799999840557575,0.03440000116825104,0.2750999927520752
11,1000000,0,0,100000000,1.25,1,1000000,3,0.029999999329447746,0.03750000149011612,0.02250000089406967,0.03750000149011612,0.029999999329447746,0,0.014999999664723873,0.02250000089406967,0.029999999329447746,0.02250000089406967,0.014999999664723873,0.03750000149011612,0.30000001192092896
12,1000000,0,0,100000000,1.274999976158142,1,1000000,3,0.032499998807907104,0.0406000018119812,0.024399999529123306,0.0406000018119812,0.032499998807907104,0,0.016300000250339508,0.024399999529123306,0.032499998807907104,0.024399999529123306,0.016300000250339508,0.0406000018119812,0.32510000467300415
13,1000000,0,0,100000000,1.2999999523162842,1,1000000,3,0.03500000014901161,0.043800000101327896,0.02630000002682209,0.043800000101327896,0.03500000014901161,0,0.017500000074505806,0.02630000002682209,0.03500000014901161,0.02630000002682209,0.017500000074505806,0.043800000101327896,0.35030001401901245
14,1000000,0,0,100000000,1.3250000476837158,1,1000000,3,0.03750000149011612,0.04690000042319298,0.02810000069439411,0.04690000042319298,0.03750000149011612,0,0.018799999728798866,0.02810000069439411,0.03750000149011612,0.02810000069439411,0.018799999728798866,0.04690000042319298,0.3750999867916107
15,1000000,0,0,100000000,1.350000023841858,1,1000000,3,0.03999999910593033,0.05000000074505806,0.029999999329447746,0.05000000074505806,0.03999999910593033,0,0.019999999552965164,0.029999999329447746,0.03999999910593033,0.029999999329447746,0.019999999552965164,0.05000000074505806,0.4000000059604645
16,1000000,0,0,100000000,1.375,2,1000000,3,0.042500000447034836,0.05310000106692314,0.03189999982714653,0.05310000106692314,0.042500000447034836,0,0.021299999207258224,0.03189999982714653,0.042500000447034836,0.03189999982714653,0.021299999207258224,0.05310000106692314,0.4250999987125397
17,1000000,0,0,100000000,1.399999976158142,2,1000000,3,0.04500000178813934,0.056299999356269836,0.033799998462200165,0.056299999356269836,0.04500000178813934,0,0.02250000089406967,0.033799998462200165,0.04500000178813934,0.033799998462200165,0.02250000089406967,0.056299999356269836,0.450300008058548
