Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,RecipeLevel,RollBonus,GatheringMultiplier,GatheringEfficiency,IconTypeUnlock,IsMilestone,Tooltip,EntitlementId,XpReward
0,,0,100,0,0,false,,0,0,0,0,,false,,,0
1,,0,105,100,0,true,,0,10,0,0.05000000074505806,,false,,,13
2,,0,110,105,0,true,,0,20,0,0.10000000149011612,,false,,,14
3,,0,115,110,0,true,,0,30,0,0.15000000596046448,,false,,,15
4,,0,120,115,0,true,,0,40,0,0.20000000298023224,,false,,,16
5,,0,125,120,0,true,,0,50,0,0.25,,false,,,18
6,,0,131,125,0,true,,0,60,0,0.30000001192092896,,false,,,19
7,,0,137,131,0,true,,0,70,0,0.3499999940395355,,false,,,20
8,,0,143,137,0,true,,0,80,0,0.4000000059604645,,false,,,21
9,,0,149,143,0,true,,0,90,0,0.44999998807907104,,false,,,23
10,,0,155,149,0,true,,0,100,0,0.5,,false,Proficient Harvester,,24
11,,0,162,155,0,true,,0,110,0,0.550000011920929,,false,,,25
12,,0,169,162,0,true,,0,120,0,0.6000000238418579,,false,,,26
13,,0,176,169,0,true,,0,130,0,0.6499999761581421,,false,,,28
14,,0,183,176,0,true,,0,140,0,0.699999988079071,,false,,,29
15,,0,191,183,0,true,,0,150,0,0.75,,false,,,30
16,,0,199,191,0,true,,0,160,0,0.800000011920929,,false,,,33
17,,0,207,199,0,true,,0,170,0,0.8500000238418579,,false,,,35
18,,0,215,207,0,true,,0,180,0,0.8999999761581421,,false,,,38
19,,0,224,215,0,true,,0,190,0,0.949999988079071,,false,,,40
20,@ui_farmplants,0,233,224,0,true,,0,200,0,1,FarmPlants,false,,,43
21,,0,242,233,0,true,,0,210,0,1.003000020980835,,false,,,45
22,,0,252,242,0,true,,0,220,0,1.00600004196167,,false,,,48
23,,0,262,252,0,true,,0,230,0,1.0089999437332153,,false,,,50
24,,0,272,262,0,true,,0,240,0,1.0119999647140503,,false,,,53
25,@ui_hemp,0,282,272,0,true,,0,250,0,1.0149999856948853,Hemp,false,,,55
26,,0,293,282,0,true,,0,260,0,1.0180000066757202,,false,,,58
27,,0,304,293,0,true,,0,270,0,1.0210000276565552,,false,,,60
28,,0,315,304,0,true,,0,280,0,1.0240000486373901,,false,,,63
29,,0,327,315,0,true,,0,290,0,1.0269999504089355,,false,,,65
30,,0,339,327,0,true,,0,300,0,1.0299999713897705,,false,Gather Alchemy Plants,,68
31,,0,351,339,0,true,,0,310,0,1.0329999923706055,,false,,,70
32,,0,364,351,0,true,,0,320,0,1.0360000133514404,,false,,,73
33,,0,377,364,0,true,,0,330,0,1.0390000343322754,,false,,,75
34,,0,391,377,0,true,,0,340,0,1.0420000553131104,,false,,,78
35,,0,405,391,0,true,,0,350,0,1.0449999570846558,,false,,,80
36,,0,419,405,0,true,,0,360,0,1.0479999780654907,,false,,,83
37,,0,434,419,0,true,,0,370,0,1.0509999990463257,,false,,,85
38,,0,449,434,0,true,,0,380,0,1.0540000200271606,,false,,,88
39,,0,464,449,0,true,,0,390,0,1.0570000410079956,,false,,,90
40,,0,480,464,0,true,,0,400,0,1.059999942779541,,false,,,93
41,,0,496,480,0,true,,0,410,0,1.062999963760376,,false,,,96
42,,0,512,496,0,true,,0,420,0,1.065999984741211,,false,,,100
43,,0,529,512,0,true,,0,430,0,1.069000005722046,,false,,,104
44,,0,546,529,0,true,,0,440,0,1.0720000267028809,,false,,,108
45,@ui_alchemy1,0,564,546,0,true,,0,450,0,1.0750000476837158,Alchemy1,false,,,111
46,,0,582,564,0,true,,0,460,0,1.0779999494552612,,false,,,115
47,,0,600,582,0,true,,0,470,0,1.0809999704360962,,false,,,119
48,,0,619,600,0,true,,0,480,0,1.0839999914169312,,false,,,123
49,,0,638,619,0,true,,0,490,0,1.0870000123977661,,false,,,126
50,,0,657,638,0,true,,0,500,0,1.090000033378601,,false,Detect Cooking Ingredients,,130
51,,0,677,657,0,true,,0,510,0,1.093000054359436,,false,,,135
52,,0,697,677,0,true,,0,520,0,1.0959999561309814,,false,,,140
53,,0,718,697,0,true,,0,530,0,1.0989999771118164,,false,,,145
54,,0,739,718,0,true,,0,540,0,1.1019999980926514,,false,,,150
55,,0,760,739,0,true,,0,550,0,1.1050000190734863,,false,,,155
56,,0,782,760,0,true,,0,560,0,1.1080000400543213,,false,,,160
57,,0,804,782,0,true,,0,570,0,1.1109999418258667,,false,,,165
58,,0,827,804,0,true,,0,580,0,1.1139999628067017,,false,,,170
59,,0,850,827,0,true,,0,590,0,1.1169999837875366,,false,,,175
60,,0,873,850,0,true,,0,600,0,1.1200000047683716,,false,,,180
61,,0,897,873,0,true,,0,610,0,1.1230000257492065,,false,,,185
62,,0,921,897,0,true,,0,620,0,1.1260000467300415,,false,,,190
63,,0,946,921,0,true,,0,630,0,1.128999948501587,,false,,,195
64,,0,971,946,0,true,,0,640,0,1.1319999694824219,,false,,,200
65,,0,997,971,0,true,,0,650,0,1.1349999904632568,,false,,,205
66,,0,1023,997,0,true,,0,660,0,1.1380000114440918,,false,,,210
67,,0,1049,1023,0,true,,0,670,0,1.1410000324249268,,false,,,215
68,,0,1076,1049,0,true,,0,680,0,1.1440000534057617,,false,,,220
69,,0,1103,1076,0,true,,0,690,0,1.1469999551773071,,false,,,225
70,,0,1130,1103,0,true,,0,700,0,1.149999976158142,,false,,,230
71,,0,1158,1130,0,true,,0,710,0,1.152999997138977,,false,,,235
