TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
01_SoleSurvivor_Container,ConsecutiveTaskContainer,false,0,,0,,,0,,false,,,,,false,false,false,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,false,false,0,,,,,,,,,01_SoleSurvivor_OpenUiScreen,01_SoleSurvivor_GotoPointA,01_SoleSurvivor_Container2,01_SoleSurvivor_Container3,
01_SoleSurvivor_Container2,ConsecutiveTaskContainer,false,0,,0,,,0,,false,,,,,false,false,false,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,01_SoleSurvivor_Whisper_FTUE_01,01_SoleSurvivor_GotoPoint0,01_SoleSurvivor_Whisper_FTUE_03,01_SoleSurvivor_TaskInteract_Thorpes_Box,01_SoleSurvivor_WhisperContainer
01_SoleSurvivor_Container3,ConsecutiveTaskContainer,false,0,,0,,,0,,false,,,,,false,false,false,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,01_SoleSurvivor_GotoPoint1,01_SoleSurvivor_GotoPoint2,01_SoleSurvivor_GotoPoint2a,01_SoleSurvivor_Whisper_FTUE_05,01_SoleSurvivor_GotoPoint3
01_SoleSurvivor_GiveItem1,TaskGiveItem,false,1,,1,,,0,,false,,,,,false,false,false,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,,
01_SoleSurvivor_OpenUiScreen,TaskOpenUiScreen,false,0,,1,,,0,,false,,,,,false,false,false,,,,,,Inventory,,,,0,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_OpenUiScreen,,,,false,false,0,,,,,,,1,,,,,,
01_SoleSurvivor_GotoPointA,TaskTriggerArea,false,1,,1,,,0,,false,,,,,false,false,false,,,,,,,Enter,,,0,,,,,,,,,,,,,,,,,ftueQuestTriggerA,@01_SoleSurvivor_GotoPoint0,,,,false,false,0,,,,,,,1,,,,,,
01_SoleSurvivor_GotoPoint0,TaskTriggerArea,false,1,,1,,,0,,false,,,,,false,false,false,,,,,,,Enter,,,0,,,,,,,,,,,,,,,,,ftueQuestTrigger0,@01_SoleSurvivor_GotoPoint0,,,,false,false,0,,,,,,,1,,,,,,
01_SoleSurvivor_TaskInteract_Thorpes_Box,TaskGameEvent,false,0,,1,,,0,,false,,,,,true,false,false,,,,,IO_MSQ_Thorpes_Box,,,MSQ_Thorpes_Box_interact,,0,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_GetBox,,657.3454 483.9889 20.9274,,false,true,0,,,,,,,,,,,,,
01_SoleSurvivor_WhisperContainer,ConsecutiveTaskContainer,false,0,,0,,,0,,false,,,,,false,false,false,,,,,,,,,,0,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_GotoPoint1,,,,false,false,0,,,,,,,,,01_SoleSurvivor_TaskTimer,01_SoleSurvivor_Whisper_FTUE_04,,,
01_SoleSurvivor_Whisper_FTUE_01,TaskTriggerGameEvent,false,0,,1,,,0,,false,,,,,false,false,false,,,,,,,,01_Whisper_FTUE_01_event,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,,
01_SoleSurvivor_Whisper_FTUE_02,TaskTriggerGameEvent,false,0,,1,,,0,,false,,,,,false,false,false,,,,,,,,01_Whisper_FTUE_02_event,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,,
01_SoleSurvivor_Whisper_FTUE_03,TaskTriggerGameEvent,false,0,,1,,,0,,false,,,,,false,false,false,,,,,,,,01_Whisper_FTUE_03_event,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,,
01_SoleSurvivor_Whisper_FTUE_04,TaskTriggerGameEvent,false,0,,1,,,0,,false,,,,,false,false,false,,,,,,,,01_Whisper_FTUE_04_event,,0,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,,
