ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,TurnInTaskDescription
FM_06_PVP_ControlSpot_Marauder_objective,Mission,,0,,true,true,false,FM_06_PVP_ControlSpot_Marauder_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_PoachSpot_Marauder_objective,Mission,,0,,true,true,false,FM_06_PVP_PoachSpot_Marauder_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_SpySpot_Marauder_objective,Mission,,0,,true,true,false,FM_06_PVP_SpySpot_Marauder_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_ControlSpot_Syndicate_objective,Mission,,0,,true,true,false,FM_06_PVP_ControlSpot_Syndicate_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_PoachSpot_Syndicate_objective,Mission,,0,,true,true,false,FM_06_PVP_PoachSpot_Syndicate_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_SpySpot_Syndicate_objective,Mission,,0,,true,true,false,FM_06_PVP_SpySpot_Syndicate_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_ControlSpot_Covenant_objective,Mission,,0,,true,true,false,FM_06_PVP_ControlSpot_Covenant_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_PoachSpot_Covenant_objective,Mission,,0,,true,true,false,FM_06_PVP_PoachSpot_Covenant_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_06_PVP_SpySpot_Covenant_objective,Mission,,0,,true,true,false,FM_06_PVP_SpySpot_Covenant_container,,6,,,,,,,,,,,,false,1,1,,,,,,,,,,false,,,,,,,
FM_0601_objective,Mission,,0,,false,true,true,FM_0601_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0602_objective,Mission,,0,,false,true,true,FM_0602_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0603_objective,Mission,,0,,false,true,true,FM_0603_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0604_objective,Mission,,0,,false,true,true,FM_0604_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0605_objective,Mission,,0,,false,true,true,FM_0605_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0606_objective,Mission,,0,,false,true,true,FM_0606_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0607_objective,Mission,,0,,false,true,true,FM_0607_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0608_objective,Mission,,0,,false,true,true,FM_0608_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0609_objective,Mission,,0,,false,true,true,FM_0609_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_0610_objective,Mission,,0,,false,true,true,FM_0610_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0601_objective,Mission,,0,,false,true,true,FM_S_0601_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0602_objective,Mission,,0,,false,true,true,FM_S_0602_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0603_objective,Mission,,0,,false,true,true,FM_S_0603_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0604_objective,Mission,,0,,false,true,true,FM_S_0604_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0605_objective,Mission,,0,,false,true,true,FM_S_0605_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0606_objective,Mission,,0,,false,true,true,FM_S_0606_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
FM_S_0607_objective,Mission,,0,,false,true,true,FM_S_0607_container,,6,,,,,,,,,,,,false,,1,,,,,,,,,,false,,,,,,,
