TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1204_0102_d_00_container_warnmagistrate,SimpleTaskContainer,0,,0,,,0,0,false,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,false,,,,,,,,,,1204_0102_d_01_transport_npc_note,1204_0102_d_02_have_npc_note,,,
1204_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,0,1,1,MI_SummonsNote,,0,100,true,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,@12_task_transport_generic,,,1,,false,,,,,,,,,,,,,,
1204_0102_d_02_have_npc_note,TaskHaveAndReturnItems,0,1,1,MI_SummonsNote,,0,0,false,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,1,,@12_task_transport_generic,,,1,,false,,,,,,,,,,,,,,
1206_0103_d_00_Container_hearthwohome,ConsecutiveTaskContainer,0,,0,,,0,0,false,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,false,,,,,,,,,,1206_0103_d_01_Container_hearthwohome_OpenUIScreenInn,,,,
1206_0103_d_01_Container_hearthwohome_OpenUIScreenInn,TaskOpenUiScreen,0,,1,,,0,0,false,0,,,1,false,false,false,,,,,InnInteractMenu,,,,0,,,,,,,,,,,,,,,,0,,@1206_0103_d_01_Container_hearthwohome_OpenUIScreenInn,,,,,false,,,,,,,,,,,,,,
1202_0102_d_00_container_intrototrader,SimpleTaskContainer,0,,0,,,0,0,false,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,false,,,,,,,,,,1206_0101_d_01_open_tradingpost,1206_0103_d_02_Container_hearthwohome_OpenUIScreenStor,,,
1206_0101_d_01_open_tradingpost,TaskOpenUiScreen,0,,1,,,0,0,false,0,,,,false,false,false,,,,,Contracts,,,,0,,,,,,,,,,,,,,,,0,,@1206_0101_d_01_open_tradingpost,,7342.187 3744.963 112.222,,,false,,,,,,,,,,,,,,
1206_0103_d_02_Container_hearthwohome_OpenUIScreenStor,TaskInteract,0,,1,,,0,0,false,0,,,1,false,false,false,,,,SettlementStorage,,,,,0,,,,,,,,,,,,,,,,0,,@1206_0103_d_02_Container_hearthwohome_OpenUIScreenStor,,7352.781 3722.461 111.417,,,false,,,,,,,,,,,,,,
1203_0102_d_00_container_introtooverseer,ConsecutiveTaskContainer,0,,0,,,0,0,false,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,false,,,,,,,,,,1203_0102_d_01_transport_npc_note,1203_0102_d_02_have_npc_note,,,
1203_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,0,1,1,MI_SummonsNote,,0,100,true,0,,,,false,false,false,,,,,,,,,0,,,,,,,,,,,,,,,,0,,@12_task_transport_generic,,,1,,false,,,,,,,,,,,,,,
