TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
12A_MSQ_01_SpeakLochnir_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_01_SpeakLochnir_TakeNote,12A_MSQ_01_SpeakLochnir_GiveNote,,,
12A_MSQ_01_SpeakLochnir_TakeNote,TaskGiveAndTakeItem,,0,,1,MI_SummonsNote,,0,100,true,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_01_SpeakLochnir_TakeNote,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_01_SpeakLochnir_GiveNote,TaskHaveAndReturnItems,,0,,1,MI_SummonsNote,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_01_SpeakLochnir_GiveNote,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_02_InnTutorial_Update_Container,12A_MSQ_02_InnTutorial_PayneSwap,12A_MSQ_02_InnTutorial_PayneSwap02,12A_MSQ_02_InnTutorial_UnlockTradingPost,
12A_MSQ_02_InnTutorial_Update_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_02_InnTutorial_Whisper_Partial,12A_MSQ_02_InnTutorial_OpenInnUIScreen,,,
12A_MSQ_02_InnTutorial_Whisper_Partial,PartialTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_02_InnTutorial_Whisper_Container,12A_MSQ_02_InnTutorial_OpenInnUIScreen_Partial,,,
12A_MSQ_02_InnTutorial_Whisper_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_02_InnTutorial_Leave_Hall,12A_MSQ_02_InnTutorial_Trigger_Whispers,,,
12A_MSQ_02_InnTutorial_Leave_Hall,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Leave,,,,,,,,,,,,,,,,,,,,Leave_TownHall,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_Trigger_Whispers,TaskTriggerGameEvent,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,,12A_MB_whisper_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_OpenInnUIScreen,TaskOpenUiScreen,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_02_InnTutorial_OpenInnUIScreen_Desc,,7383.348 3732.266 113.149,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_OpenInnUIScreen_Partial,TaskOpenUiScreen,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_02_InnTutorial_OpenInnUIScreen_Desc,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_PayneSwap,TaskUnlockAchievement,,0,,1,SwapActive_12_SerPayneBennett,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_PayneSwap02,TaskUnlockAchievement,,0,,1,SwapActive_12_SerPayneBennett_B,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_02_InnTutorial_UnlockTradingPost,TaskUnlockAchievement,,0,,1,S_hearthhome,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_03_VaultTutorial_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_03_VaultTutorial_TraderUnlock,12A_MSQ_03_VaultTutorial_Trader,12A_MSQ_03_VaultTutorial_Vault,,
12A_MSQ_03_VaultTutorial_TraderUnlock,TaskUnlockAchievement,,0,,0,S_hearthhome,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_03_VaultTutorial_Trader,TaskOpenUiScreen,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,Contracts,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_03_VaultTutorial_Trader_Desc,,7343.729 3742.704 114.483,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_03_VaultTutorial_Vault,TaskInteract,,0,,1,,,0,0,false,,,,,false,false,,0,,,,SettlementStorage,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_03_VaultTutorial_Vault_Desc,,7354.032 3726.133 114.282,0,,TRUE,,,,,,,,,true,,,,,
12A_MSQ_04_MeetPayne_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_04_MeetPayne_TalkPayne,,,,
12A_MSQ_04_MeetPayne_TalkPayne,TaskConversationTopic,,0,,0,12_SerPayneBennett_02,,0,0,false,,,,,false,false,,0,,,,,12_01_MSQ_04_SerPayneBennett,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_04_MeetPayne_TalkPayne_Desc,,7352.218 3775.131 116.685,0,,,,,,,,,,,false,,,,,
12A_MSQ_06_ToMiclot_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_06_ToMiclot_GoToMine,,,,
12A_MSQ_06_ToMiclot_GoToMine,TaskGoToPOITag,,0,,0,,,0,0,false,,withered_mines_30112,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_06_ToMiclot_GoToMine_Desc,,7693.327637 3884.676270 99.499420,0,,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_07_FreeMiners_MinersContainer,12A_MSQ_07_FreeMiners_GoToPit,,,
12A_MSQ_07_FreeMiners_MinersContainer,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_07_FreeMiners_MinerContainer1,12A_MSQ_07_FreeMiners_MinerContainer2,12A_MSQ_07_FreeMiners_MinerContainer3,,
12A_MSQ_07_FreeMiners_MinerContainer1,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_07_FreeMiners_FreeMiners1,12A_MSQ_07_FreeMiners_MinerSubtitle1,,,
12A_MSQ_07_FreeMiners_FreeMiners1,TaskGameEvent,,0,,1,MB_MSQ2_RescueMiner_Rescue01,,0,0,false,,,,,true,false,,0,,,,IO_MB_MSQ2_FreeMiners_01,,,MB_MSQ2_RescueMiner_Rescue_01_interact,,,,,,,,,,,,,,,,,,,,@12A_MSQ_07_FreeMiners_FreeMiners_Desc,,7791.591 3777.104 125.599,0,,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_MinerSubtitle1,TaskTriggerGameEvent,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,,12A_MSQ_07_Miner1_subtitle_interact,,,,,,,,,,,,,,,,,,,,,,,1,TRUE,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_MinerContainer2,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_07_FreeMiners_FreeMiners2,12A_MSQ_07_FreeMiners_MinerSubtitle2,,,
12A_MSQ_07_FreeMiners_FreeMiners2,TaskGameEvent,,0,,1,MB_MSQ2_RescueMiner_Rescue02,,0,0,false,,,,,true,false,,0,,,,IO_MB_MSQ2_FreeMiners_02,,,MB_MSQ2_RescueMiner_Rescue_02_interact,,,,,,,,,,,,,,,,,,,,@12A_MSQ_07_FreeMiners_FreeMiners02_Desc,,7791.591 3777.104 125.599,0,,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_MinerSubtitle2,TaskTriggerGameEvent,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,,12A_MSQ_07_Miner2_subtitle_interact,,,,,,,,,,,,,,,,,,,,,,,1,TRUE,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_MinerContainer3,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_07_FreeMiners_FreeMiners3,12A_MSQ_07_FreeMiners_MinerSubtitle3,,,
12A_MSQ_07_FreeMiners_FreeMiners3,TaskGameEvent,,0,,1,MB_MSQ2_RescueMiner_Rescue03,,0,0,false,,,,,true,false,,0,,,,IO_MB_MSQ2_FreeMiners_03,,,MB_MSQ2_RescueMiner_Rescue_03_interact,,,,,,,,,,,,,,,,,,,,@12A_MSQ_07_FreeMiners_FreeMiners03_Desc,,7791.591 3777.104 125.599,0,,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_MinerSubtitle3,TaskTriggerGameEvent,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,,12A_MSQ_07_Miner3_subtitle_interact,,,,,,,,,,,,,,,,,,,,,,,1,TRUE,,,,,,,,,,false,,,,,
12A_MSQ_07_FreeMiners_GoToPit,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_FindElias,@12A_MSQ_07_FreeMiners_GoToPit_Desc,,7814.347 3665.124 187.565,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_08_DestroyRune_EnterContainer,12A_MSQ_08_DestroyRune_BossContainer,12A_MSQ_08_DestroyRune_SwapContainer,,
12A_MSQ_08_DestroyRune_EnterContainer,PartialTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_08_DestroyRune_GoToPeak,12A_MSQ_08_DestroyRune_UseCannon,,,
12A_MSQ_08_DestroyRune_FindCannon,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_EnterPeak,@12A_MSQ_08_DestroyRune_FindCannon_Desc,,7810.768 3611.752 187.040,0,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_UseCannon,TaskGameEvent,,0,,1,Gimmick_BreakingWallsCannon,,0,0,false,,,,,false,false,,0,,,,IO_Gimmick_BreakingWallsCannon,,,IO_Gimmick_BreakingWallsCannon_interact,,,,,,,,,,,,,,,,,,,,@12A_MSQ_08_DestroyRune_FindCannon_Desc,,7810.768 3611.752 187.041,0,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_GoToPeak,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_EnterPeak,@12A_MSQ_08_DestroyRune_GoToPeak_Desc,,7814.620 3604.663 187.816,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_BossContainer,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_08_DestroyRune_DefeatBoss,12A_MSQ_08_DestroyRune_DestroyRune,,,
12A_MSQ_08_DestroyRune_DefeatBoss,TaskKillContribution,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,,Undead_Berserker_Named_12MB10,,,,,,,,,,,,,,,,,,,,@12A_MSQ_08_DestroyRune_DefeatBoss_Desc,,7826.066 3578.900 188.010,0,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_DestroyRune,TaskHaveAndReturnItems,,0,,1,12A_MSQ_08_RuneShards,MB_MSQ2_DestroyRune_Tablet,100,0,false,,,,,false,false,,0,,,,IO_MB_MSQ2_DestroyRune_Tablet,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_08_DestroyRune_DestroyRune_Desc,,7831.002 3580.681 188.449,0,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_GoToPit,TaskGoToPOITag,,0,,0,,,0,0,false,,devilspit_30134,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_08_DestroyRune_GoToPit_Desc,,7773.504 3670.027 174.099,0,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_SwapContainer,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_08_DestroyRune_Shazaan,12A_MSQ_08_DestroyRune_Tomira,12A_MSQ_08_DestroyRune_Chandu,12A_MSQ_08_DestroyRune_Lochnir,12A_MSQ_08_DestroyRune_Lochnir_A
12A_MSQ_08_DestroyRune_Shazaan,TaskUnlockAchievement,,0,,0,SwapActive_12_ShazaanCortis,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_Tomira,TaskUnlockAchievement,,0,,0,SwapActive_12_TomiraDudek,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_Chandu,TaskUnlockAchievement,,0,,0,SwapActive_12_ChanduIyer,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_Lochnir,TaskUnlockAchievement,,0,,0,SwapActive_12_Lochnir,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_08_DestroyRune_Lochnir_A,TaskUnlockAchievement,,0,,0,SwapActive_12_Lochnir_A,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_09_ReturnRegent_Container,PartialTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_09_ReturnRegent_GoToRegent,12A_MSQ_09_ReturnRegent_RecallInn,,,
12A_MSQ_09_ReturnRegent_GoToRegent,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_ReturnCrown,@12A_MSQ_09_ReturnRegent_Container_Desc,,7241.042 3753.507 129.833,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_09_ReturnRegent_RecallInn,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Enter,,,,,,,,,,,,,,,,,,,,12A_LeaveLochnir,@12A_MSQ_09_ReturnRegent_Return_Desc,,7383.5 3732.5 112.669,0,,TRUE,,,,,,,,,false,,,,,
12A_MSQ_09_ReturnRegent_TakeNote,TaskGiveAndTakeItem,,0,,1,MI_SummonsNote,,0,100,true,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_09_ReturnRegent_GiveNote,TaskHaveAndReturnItems,,0,,1,MI_SummonsNote,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,,,,,
12A_MSQ_10_ConfrontLochnir_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_10_ConfrontLochnir_CollectNotes,12A_MSQ_10_ConfrontLochnir_TalkLochnir,12A_MSQ_10_ConfrontLochnir_SwapContainer,,
12A_MSQ_10_ConfrontLochnir_TalkLochnir,TaskConversationTopic,,0,,1,12_Lochnir_01,,0,0,false,,,,,false,false,,0,,,,,12_03_MSQ_10_Lochnir_Explains,,,,,,,,,,,,,,,,,,,,,,@12A_MSQ_10_ConfrontLochnir_TalkLochnir_Desc,,7384.020 3746.668 111.416,0,,,,,,,,,,,false,,,,,
12A_MSQ_10_ConfrontLochnir_Control_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_10_ConfrontLochnir_TalkLochnir,,,,
12A_MSQ_10_ConfrontLochnir_Whisper_Container,ConsecutiveTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_10_ConfrontLochnir_LeaveLochnir,12A_MSQ_10_ConfrontLochnir_Trigger_Whispers,,,
12A_MSQ_10_ConfrontLochnir_Return_Container,SimpleTaskContainer,,0,,0,,,0,0,false,,,,,false,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,false,12A_MSQ_10_ConfrontLochnir_Whisper_Container,12A_MSQ_10_ConfrontLochnir_GoToThrone,,,
12A_MSQ_10_ConfrontLochnir_LeaveLochnir,TaskTriggerArea,,0,,1,,,0,0,false,,,,,false,false,,0,,,,,,Leave,,,,,,,,,,,,,,,,,,,,12A_LeaveLochnir,,,,1,,,,,,,,,,,false,,,,,
