TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
FM_1301_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1301_tasks_first_container,M_ReturnToGiver,,,
FM_1301_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1301_leg_A_task,FM_1301_leg_B_task,FM_1301_leg_C_task,,
FM_1301_leg_A_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1301_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50223,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1301_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50205,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1302_container,ConsecutiveTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,,false,,,,,,,,,false,FM_1302_tasks_first_container,M_ReturnToGiver,,,
FM_1302_tasks_first_container,SimpleTaskContainer,,0,0,,,0,0,false,,,,false,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,1,,false,,,,,,,,,false,FM_1302_leg_A_task,FM_1302_leg_B_task,FM_1302_leg_C_task,,
FM_1302_leg_A_task,TaskKillContribution,,0,6,,,0,0,true,,abandoned_fishing_village_50206,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1302_leg_B_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_fishing_village_50237,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
FM_1302_leg_C_task,TaskKillContribution,,0,8,,,0,0,true,,abandoned_farm_village_50203,,true,0,,,,,,,,,Lost,,0,,,,,,,,,,,,,,,,0,,@objective_mission_kill_generic_at_POI,,,0,,false,,,,,,,,,false,,,,,
