TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95A_S02_BloodoftheSand_Container,ConsecutiveTaskContainer,,0,0,0,,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,95A_S02_BloodoftheSand_Mural_UnlockCine,95A_S02_BloodoftheSand_Mural_Container,95A_S02_BloodoftheSand_Mural_GiveRubbing,95A_S02_BloodoftheSand_Mural_WatchedCine,95A_S02_BloodoftheSand_Corsica_Container
95A_S02_BloodoftheSand_Mural_UnlockCine,TaskUnlockAchievement,,0,0,1,Unlock_95A_S02_DevourerCinematic,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_Mural_Container,PartialTaskContainer,,0,0,0,,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,95A_S02_BloodoftheSand_Mural_01_Interact,,,,
95A_S02_BloodoftheSand_Mural_01_Interact,TaskInteract,,0,0,1,,,0,,,false,,,,,,,false,0,,,,IO_95A_S02_Mural1,,,95A_S02_Mural1_interact,,0,,,,,,,,,,,,,,,,,,@95A_S02_BloodoftheSand_Mural_Interact_Desc,,6945.690918 6751.087402 188.302216,0,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_Mural_GiveRubbing,TaskGiveItem,,0,0,1,95a_s02_MuralRubbing_item,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_Mural_WatchedCine,TaskUnlockAchievement,,0,0,1,Watched_95A_S02_DevourerCinematic,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_Corsica_Container,ConsecutiveTaskContainer,,0,0,0,,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,95A_S02_BloodoftheSand_Malek_Appear,95A_S02_BloodoftheSand_GoToCorsica,,,
95A_S02_BloodoftheSand_Malek_Appear,TaskUnlockAchievement,,0,0,1,SwapActive_Season2_Malek_1,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_GoToCorsica,TaskGoToPOITag,,0,0,1,,,0,,,false,,BrimstoneSands_Settlement_01,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,@95A_S02_BloodoftheSand_GoToCorsica_Desc,,,0,,,0,,,,,,,,,,,,,
95A_S02_BloodoftheSand_Marauder_Container,ConsecutiveTaskContainer,,0,0,0,,,0,,,false,,,,,,,false,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,95A_S02_BloodoftheSand_Mural_UnlockCine,95A_S02_BloodoftheSand_Mural_Marauder_Container,95A_S02_BloodoftheSand_Mural_GiveRubbing,95A_S02_BloodoftheSand_Mural_WatchedCine,95A_S02_BloodoftheSand_Corsica_Container
