TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
99C_MSQ_01_Periville_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,0,,,,,,,,99C_MSQ_01_Periville_GoToPOI,99C_MSQ_01_Periville_swap_container,99C_MSQ_01_Periville_find_container,99C_MSQ_01_Periville_find_container2,99C_MSQ_01_Periville_journal_container
99C_MSQ_01_Periville_GoToPOI,TaskGoToPOITag,,0,,0,,,0,,true,,haunted_town_50201,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_GoToPOI,,,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_swap_container,SimpleTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_swapGalahadB_On,,,,
99C_MSQ_01_Periville_swapGalahadB_On,TaskUnlockAchievement,,0,,0,SwapActive_99C_Galahad_B,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_find_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_interactPlants,99C_MSQ_01_Periville_lore1_container,,,
99C_MSQ_01_Periville_interactPlants,TaskGameEvent,,0,,3,,,0,,false,,haunted_town_50201,,,false,false,,,,,,IO_99C_MSQ2_GlowingMushroom,,,IO_99C_MSQ2_GlowingMushroom_interact,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_interactPlants,,10767.93 5628.92 94.49,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_lore1_container,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_readLore1,99C_MSQ_01_Periville_voicedLore1,,,
99C_MSQ_01_Periville_readLore1,TaskAchievement,,0,,1,Lore_unlock_13_WeaversFen_Title_11_01,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@99C_MSQ_01_Periville_readLore,,10813.27 5625.69 91.21,0,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_voicedLore1,TaskTriggerGameEvent,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,99C_Morgaine_VoicedLoreNote_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,,,,,
99C_MSQ_01_Periville_find_container2,ConsecutiveTaskContainer,,0,,0,,,0,,false,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,false,false,0,,,,,,,,99C_MSQ_01_Periville_lore2_container,99C_MSQ_01_Periville_coffinC_container,99C_MSQ_01_Periville_coffinB_container,99C_MSQ_01_Periville_coffinA_container,99C_MSQ_01_Periville_lore3_container
