TrackedStatID,StatType,TargetID,QuestType,IsPVP,IsPermanent
CompleteQuest,CompleteQuest,,Quest,false,false
CompleteTownProject,CompleteQuest,,CommunityGoal,false,false
CompleteFactionMission,CompleteQuest,,Mission,false,false
CompletePvPFactionMission,CompleteQuest,,Mission,true,false
CompleteQuest_TheEmpyreanForge,CompleteQuest,95_s01_X1_EXPD_Empyrean,,false,true
CompleteQuest_FirstCustomer,CompleteQuest,95_s01_02_TEMP_FirstCustomer,,false,true
CompleteQuest_VineYards,CompleteQuest,95_s01_07_TEMP_PossibilitiesOfFire,,false,true
CompleteQuest_DearlyBeloved,CompleteQuest,95_s01_08_TEMP_HotOnTheTrail,,false,true
CompleteQuest_Showdown,CompleteQuest,95_s01_09_TEMP_Faceless,,false,true
CompleteQuest_CurseOfTheBones,CompleteQuest,95_s01_02a_TEMP_TheCurse,,false,true
CompleteQuest_MinorBreach,CompleteQuest,,DarknessMinor,false,false
CompleteQuest_MajorBreach,CompleteQuest,,DarknessMajor,false,false
CompleteQuest_Breach,CompleteQuest,,"DarknessMinor,DarknessMajor",false,false
CompleteQuest_ToBeContinued,CompleteQuest,95_s01_10_TEMP_ToBeContinued,,false,true
CompleteQuest_WordOfAThief,CompleteQuest,95A_S02_WordofaThief,,false,true
CompleteQuest_SecondThoughts,CompleteQuest,95A_S02_SecondThoughts,,false,true
CompleteQuest_PrecariousPosition,CompleteQuest,95A_S02_PrecariousPosition,,false,true
CompleteQuest_EmptyNest,CompleteQuest,95A_S02_EmptyNest,,false,true
CompleteQuest_Rememberance,CompleteQuest,95A_S02_Remembrance,,false,true
CompleteQuest_TheOrdealOfTheNineGates,CompleteQuest,1624_0801_agodawakens,,false,true
CompleteQuest_TheWildHuntress,CompleteQuest,1624_1001_thewildhuntress,,false,true
