AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,IsStackableAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnEventPassiveConditionsPass,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnDeath,OnDeathsDoor,OnHasDied,OnBlockBreak,OnTargetBlockBreak,OnTargetSet,OnContributedKill,OnHealthChanged,OnStatusEffectApplied,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,ResetConsecutiveOnSuccess,DamageIsRanged,DamageIsMelee,AllowSelfDamageForHitEvents,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,CheckOwnedStatusEffects,StatusEffect,StatusEffectCategories,StatusEffectStackSize,StatusEffectComparison,DontHaveStatusEffect,StatusEffectBeingApplied,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,LinearlyScaleToDistance,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,ManaRate,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,PowerLevelOverride,EnableCrit,PerStatusEffectOnTarget,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SelfApplyStatusEffectDurations,DoNotUnequipSelfAppliedSE,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
AAAAA DO NOT USE,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,10,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
Elite Affixes,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Elite_Unbreakable_Grit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,10,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Elite_StaggerAndStaminaDMG,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,-0.25,0,,,,-0.25,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_StaminaDamageTakenReduced_50,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0.5,,,,0,0.5,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_PoisonPool_OnHit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,Dryad_Tendril_Sweep_Pools,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_Burn_OnHit,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,,,AI_Burn_9,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_SelfDestruct_OnDeath,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Explosion,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_SelfDestruct_Corruption_OnDeath,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Corruption_Explosion,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
AI_SelfDestruct_Corruption_25Percent_OnDeath,,,,,,,,,,,,,,,,,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,,,false,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,0,0,,,,,,,,0,0,,,0,,,,,,,false,,,,,,AI_Corruption_Explosion_25Percent,,,0,false,,,false,0,0,,,,,0,,,,0,,,,,,,,,false
