AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,EquipWhenUnsheathed,WeaponTag,RequiredAbilityId,RequiredEquippedAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockBreak,OnTargetBlockBreak,OnFatalDamageTaken,OnDeath,OnDeathsDoor,AllowSelfDamageForHitEvents,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,TrackHitCount,MaxTrackedHitCounts,ResetConsecutiveOnSuccess,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,StatusEffect,StatusEffectCategories,DontHaveStatusEffect,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,MaxNumAroundMe,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,SetHealthOnFatalDamageTaken,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,LinearlyScaleToDistance,PhysicalArmor,ElementalArmor,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,RangedAttackNameOverride,EnableCrit,PerStatusEffectOnTarget,PerStatusEffectOnTargetMax,ForceTakeStaminaDamage,StaminaCostList,StaminaCostFlatMod,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,RemoveTargetStatusEffectCats,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationCats,TargetStatusEffectDurationMod,TargetStatusEffectDurationMult,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus,IgnoreDisabledAttackTypes
Ability_Hatchet_Berserk,@Berserk,@Berserk_description,Buff,lyshineui/images/icons/abilities/hatchet_Ability01.png,,Play_UI_WeaponSkills_Hatchet_Ability_1,,,,false,Axe,,,0,0,2,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,Common_Taunt_DamageTableRow,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,Hatchet_Berserk_Taunt,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_Berserk,,,0,,,,,
Upgrade_Hatchet_Berserk_Speed,@Berserk_Mod1,@Berserk_Mod1_description,Buff,lyshineui/images/icons/abilities/hatchet_Ability01_Mod01.png,,,,,,false,Axe,Ability_Hatchet_Berserk,,0,1,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,Hatchet_Berserk,,,,,,,,,0,,,,0,,8,LessThan,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,Hatchet_Berserk_SpeedUp,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_Berserk,,,0,,,,,
Upgrade_Hatchet_Berserk_HPOnEnd,@Berserk_Mod2,@Berserk_Mod2_description,Buff,lyshineui/images/icons/abilities/hatchet_Ability01_Mod02.png,,,,,,false,Axe,Upgrade_Hatchet_Berserk_Speed,,0,2,2,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,0,0,0,false,0,false,0,,false,false,,,,,,,,Hatchet_Berserk_LifeSteal,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0.05000000074505806,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_Berserk,,,0,,,,,
Upgrade_Hatchet_Berserk_Purge,@Berserk_Mod3,@Berserk_Mod3_description,Buff,lyshineui/images/icons/abilities/hatchet_Ability01_Mod03.png,,,,,,false,Axe,Upgrade_Hatchet_Berserk_HPOnEnd,,0,3,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_Berserk,,,0,,,,,
Upgrade_Hatchet_Berserk_Unstoppable,@Berserk_Mod4,@Berserk_Mod4_description,Buff,lyshineui/images/icons/abilities/hatchet_Ability01_Mod04.png,,,,,,false,Axe,Upgrade_Hatchet_Berserk_Purge,,0,4,2,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_Berserk,,,0,,,,,
Ability_Hatchet_FeralRush,@SprintAttack,@SprintAttack_description,Melee Damage,lyshineui/images/icons/abilities/hatchet_Ability02.png,,Play_UI_WeaponSkills_Hatchet_Ability_2,,,,false,Axe,,,0,1,0,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_FeralRush,,,0,,,,,
Upgrade_Hatchet_FeralRush_DMGVsLowHP,@SprintAttack_Mod1,@SprintAttack_Mod1_description,Melee Damage,lyshineui/images/icons/abilities/hatchet_Ability02_Mod01.png,,,,,,false,Axe,Ability_Hatchet_FeralRush,,0,2,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,30,LessThan,0,,0,0,,,,Hatchet_Attack_Sprint_Land,0.25,,0.20000000298023224,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_FeralRush,,,0,,,,,
Upgrade_Hatchet_FeralRush_BackstabRoot,@SprintAttack_Mod2,@SprintAttack_Mod2_description,Melee Damage,lyshineui/images/icons/abilities/hatchet_Ability02_Mod02.png,,,,,,false,Axe,Upgrade_Hatchet_FeralRush_DMGVsLowHP,,0,3,0,false,false,,,,,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,Hatchet_Attack_Sprint_Land,0.25,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,Hatchet_Rush_Root,,,false,,,,,,,,,,0,0,,Ability_Hatchet_FeralRush,,,0,,,,,
Ability_Hatchet_RagingTorrent,@RapidStrikes,@RapidStrikes_description,Melee Damage,lyshineui/images/icons/abilities/hatchet_Ability03.png,,Play_UI_WeaponSkills_Hatchet_Ability_3,,,,false,Axe,,,0,2,4,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,,0,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_RagingTorrent,,,0,,,,,
Upgrade_Hatchet_Torrent_Haste,@RapidStrikes_Mod1,@RapidStrikes_Mod1_description,Melee Damage,lyshineui/images/icons/abilities/hatchet_Ability03_Mod01.png,,,,,,false,Axe,Ability_Hatchet_RagingTorrent,,0,3,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,false,0,false,0,,false,false,,,,,,,,,,,,,,,,,0,,,,0,,0,,0,0,,,,Hatchet_RapidStrikes,0.10000000149011612,,0,0,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,false,0,,,,,Hatchet_Raging_Haste,,,,false,,,,,,,,,,0,0,,Ability_Hatchet_RagingTorrent,,,0,,,,,
